Manufacturer,Team,No.,Driver,Crew chief
Chevrolet,Brad Smith Motorsports,48,Brad Smith,Terry Strange 4 Rand Bitter 1 Colby Evans 1 Jeff Smith 9 Leo Kryger 4 Carl Brown 1
Chevrolet,GMS Racing,43,Daniel Dye,Chad Bryant
Chevrolet,Rev Racing,2,Nick Sanchez,Matt Bucher
Chevrolet,Rev Racing,6,Rajah Caruth,Brad Parrott 9 Brad Means 11
Toyota,Kyle Busch Motorsports,18,Drew Dollar 4,Mark McFarland
Toyota,Kyle Busch Motorsports,18,Sammy Smith  16,Mark McFarland
Toyota,Venturini Motorsports,15,Parker Chase 9,Kevin Reed
Toyota,Venturini Motorsports,15,Gus Dean 2,Kevin Reed
Toyota,Venturini Motorsports,15,Conner Jones 1,Kevin Reed
Toyota,Venturini Motorsports,15,Tom Hessert III 1,Kevin Reed
Toyota,Venturini Motorsports,15,Landon Pembelton 3,Kevin Reed
Toyota,Venturini Motorsports,15,Chandler Smith 1,Kevin Reed
Toyota,Venturini Motorsports,15,Buddy Kofoid 1,Kevin Reed
Toyota,Venturini Motorsports,15,Corey Heim 1,Kevin Reed
Toyota,Venturini Motorsports,20,Corey Heim 6,Shannon Rursch 19
Toyota,Venturini Motorsports,20,Jesse Love  14,Shannon Rursch 19
Toyota,Venturini Motorsports,25,Toni Breidinger,Kevin Reed Jr.
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,Benny Chastain 1,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,Tim Monroe 5,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,Arnout Kok 1,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,Dick Doheny 1,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,Stephanie Moyer 4,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,D. L. Wilson 3,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,Dallas Frueh 2,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Ford 9 Chevrolet 5 Toyota 6,Fast Track Racing,1,Zachary Tinkle 3,Tony Cosentino 1 Tim Monroe 8 Trey Galgon 1 Liz Cafferilli 1 Mike Sroufe 3 Dallas Frueh 5  Dick Doheny 1
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Jason White 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Zachary Tinkle 3,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Richard Garvie 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Ryan Huff 2,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Tanner Allen 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
Chevrolet 5 Toyota 12 Ford 3,Fast Track Racing,10,Arnout Kok 1,Mike Sroufe 3 Wayne Peterson 1 Steven Barton 4 Richard Burgess 1 Dick Doheny 3 Tony Cosentino 2  Dallas Frueh 1 Tim Monroe 5
