Road,From,To
B400,A4 Fleet Street,A40 Holborn
B401,A40 High Holborn,B402 Long Acre
B402,A400 Charing Cross Road,A4200 Kingsway
B403,"A40 New Oxford Street, London","B401 Endell Street, London"
B404,A401 Shaftesbury Avenue,A400 Charing Cross Road
B405,"A4204 Palace Gardens Terrace, near Notting Hill Gate",A4204 Kensington Church Street
B406,"A5204 Wigmore Street, Marylebone","A4201 Regent Street, Mayfair"
B407,"A4  Kensington High Street, London","A40 Holland Park Avenue, London"
B408,"A315 King Street, Hammersmith",A4020 Shepherd's Bush
B409,"A402 Goldhawk Road, Stamford Brook",B490 at Acton Green
B410,A402 Bayswater Road,A4205 Praed Street at Paddington station
B411,A402 Bayswater Road,A404 Harrow Road
B412,A219 Shepherd's Bush,A4207 Notting Hill
B413,A5 Maida Vale,B450 Chamberlayne Road
B414,A5 Maida Vale,A404 Harrow Road at Westbourne Green
B415,"A4206 Pembridge Road, near Notting Hill Gate",B450 Ladbroke Grove
B416,A4 Wellington Street / A332 roundabout at Slough,A413 Amersham Road at Gerrards Cross
B417 - B423,unused,
B424,,
B425,"A45 in Sheldon, West Midlands",A41 in Solihull
B430,A34 at Weston-on-the-Green,M40 at Ardley
B431 - B438,unused,
B439,A46 at Salford Priors,A4390 at Stratford-upon-Avon
B440,A4146 and A505 roundabout at Leighton Buzzard,A4146 and A4147 in Hemel Hempstead
B441 - B449,unused,
B450,A402 at Holland Park,B451 at Kensal Rise
B451,A404 at Kensal Green,A5 at Kilburn
B452,A3002 at Brentford,A40 at Perivale
B453,"A407, Willesden High Road, Willesden","A4088, Neasden Junction"
B454,A315 at Isleworth,A4127 at Southall
B455,A315 at Brentford,A312/A4180 roundabout at Yeading
B456,A40 Western Avenue,A4005 at Alperton
B457,A4005 at Roxeth,A312 at Harrow
B458,A404 in Harrow,A4005 in Harrow
B459,A410 in Harrow Wield,A410 in Stanmore
B460,A410 in Hatch End,A41 in Oxhey
B461,A4140 at Stanmore,A5 at Edgware
B462,A411 at Bushey Arches,A5183 at Radlett
B463,A404 in Pinner,A410 in Pinner
B464,A312 north of Harlington,A40  in Hillingdon
B465,A4020 at Hillingdon,A408 at Stockley Park
B466,A4020 at Hillingdon,A404 at Pinner
B467,A4020 at Uxbridge,B466 at Ickenham
B468,A404 near Northwood,A40  in Oxhey
B469,A404 at Northwood,A4215 at Northwood
B470,A408 at Cowley,A4 at Windsor
B471,"Pangbourne, Berkshire","A4074 at Woodcote, Oxfordshire"
B472,A404 at Northwood Hills,B466 at Eastcote
B473,A4 at Slough,A413 in Amersham
B474,A40 at Beaconsfield,A404 at Hazlemere
B475,A4 in Slough,Slough railway station
B476,A4 near Taplow,A32  in Wooburn
B477,A4 at Hare Hatch,A321 at Wargrave
B478,A4 road at Charvil,A4155
B479,A32 in Caversham,A423 in Benson
B480,"A4130 Fair Mile, Henley-on-Thames","The Plain, Oxford"
B481,A4155 Caversham,B480 just south of Watlington
B482,A4155 Marlow,A40 Stokenchurch
B483,A4020 at Uxbridge,A40 at Ickenham
B484,A416 at High Wycombe railway station,A416 at Wycombe Abbey
B485,A416 at Chesham,A413 at Great Missenden
B486,B4635 in Tring,B488 in Tring
B487,Hemel Hempstead,A1081 in Harpenden
B488,"Aston Clinton, Tring","A4146 south of Leighton Buzzard,"
B489,B4009 at Aston Clinton,A5/A505 at Dunstable
B490,A315 at Chiswick,A4020 at Acton
B491,A315 at Chiswick,B490 near Acton
B492,A40 in Acton,A4000 in Acton
B493 - B499,unused,
