Manufacturer,Team,No.,Driver,Rounds
Chevrolet,Allgaier Motorsports,16.0,Kelly Kovski,2.0
Chevrolet,Bret Holmes Racing,23.0,Bret Holmes,11.0
Chevrolet,Wayne Peterson Racing,23.0,Wayne Peterson,2.0
Chevrolet,Wayne Peterson Racing,6.0,Dale Matchett,1.0
Chevrolet,Bobby Gerhart Racing,5.0,Bobby Gerhart,7.0
Chevrolet,Brother-In-Law Racing,57.0,Bryan Dauzat,5.0
Chevrolet,Chad Finley Racing,51.0,Austin Hill,1.0
Chevrolet,Chad Finley Racing,51.0,Chad Finley,1.0
Chevrolet,Grant County Mulch Racing,7.0,Codie Rohrbaugh,8.0
Chevrolet,Grynewicz Motorsports,40.0,Tovia Grynewicz,1.0
Chevrolet,KBR Development,35.0,Carson Hocevar,3.0
Chevrolet,Kimmel-Finney Racing,69.0,Scott Reeves,1.0
Chevrolet,Mason Mitchell Motorsports,78.0,Max Tullman,8.0
Chevrolet,Mason Mitchell Motorsports,78.0,Ryan Repko,1.0
Chevrolet,Mason Mitchell Motorsports,78.0,Colby Howard,2.0
Chevrolet,Mason Mitchell Motorsports,78.0,Grant Enfinger,1.0
Chevrolet,Mason Mitchell Motorsports,78.0,Blaine Perkins,1.0
Chevrolet,Mason Mitchell Motorsports,78.0,Quin Houff,1.0
Chevrolet,Mason Mitchell Motorsports,98.0,Quin Houff,3.0
Chevrolet,Mason Mitchell Motorsports,98.0,Blaine Perkins,3.0
Chevrolet,Mason Mitchell Motorsports,98.0,Mason Mitchell,1.0
Chevrolet,Norm Hutton Racing,37.0,Kirk Horton,1.0
Chevrolet,Our Motorsports,2.0,Andy Seuss,3.0
Chevrolet,Our Motorsports,6.0,Josh Williams,1.0
Chevrolet,Patriot Motorsports Group,38.0,Jerry de Weerdt,1.0
Chevrolet,Patriot Motorsports Group,38.0,Rob Powers,1.0
Chevrolet,Patriot Motorsports Group,38.0,Salvatore Iovino,1.0
Chevrolet,Spraker Racing Enterprises,63.0,Dave Mader III,3.0
Chevrolet,Win-Tron Racing,33.0,Daniel Sasnett,1.0
Chevrolet,Win-Tron Racing,33.0,Cole Glasson,1.0
Chevrolet,ZR Racing,1.0,Zach Ralston,1.0
Dodge,Hixson Motorsports,2.0,Eric Caudell,5.0
Ford,Chad Bryant Racing,22.0,Tyler Dippel,2.0
Ford,Chad Bryant Racing,22.0,Josh Berry,1.0
Ford,Chad Bryant Racing,22.0,Tom Hessert III,1.0
Ford,Clubb Racing,3.0,Alex Clubb,3.0
Ford,Dale Shearer Racing,73.0,Dale Shearer,1.0
Ford,Dale Shearer Racing,73.0,Darrell Basham,1.0
Ford,Kimmel Racing,68.0,Baden Stewart,1.0
Ford,Kimmel Racing,68.0,Scott Melton,1.0
Ford,Kimmel Racing,68.0,Kevin Hinckle,1.0
Ford,Kimmel Racing,69.0,Will Kimmel,9.0
Ford,Kimmel Racing,69.0,Kevin Hinckle,1.0
Ford,Kimmel Racing,69.0,David Sear,3.0
Ford,Kimmel Racing,69.0,Mike Basham,1.0
Ford,Kimmel Racing,69.0,Darrell Basham,1.0
Ford,Kimmel Racing,69.0,Jonas Fors,1.0
Ford,Max Force Racing,99.0,Ronnie Osmer,1.0
Ford,MBM Motorsports,66.0,Mark Thompson,1.0
Ford,Mullins Racing,2.0,Andrew Belmont,1.0
Ford,Mullins Racing,2.0,Robert Bruce,1.0
Ford,Mullins Racing,3.0,Willie Mullins,2.0
Ford,Mystic Motorsports,7.0,Brian Kaltreider,2.0
Ford,Rette Jones Racing,30.0,Grant Quinlan,1.0
Ford,Scott Melton Racing,67.0,Scott Melton,1.0
Toyota,DGM Racing,71.0,L. B. Skaggs,3.0
Toyota,DGR-Crosley,54.0,Noah Gragson,2.0
Toyota,DGR-Crosley,54.0,Bo LeMastus,1.0
Toyota,DGR-Crosley,54.0,Todd Gilliland,4.0
Toyota,Fast Track Racing,22.0,Ed Pompa,1.0
Toyota,Hendren Motorsports,24.0,Ryan Unzicker,2.0
Toyota,J. J. Pack Racing,61.0,J. J. Pack,2.0
Toyota,Jack Dossey Motorsports,99.0,Jack Dossey III,2.0
Toyota,Joe Gibbs Racing,19.0,Drew Herring,1.0
Toyota,MDM Motorsports,12.0,Harrison Burton,8.0
Toyota,MDM Motorsports,12.0,Brandon Jones,2.0
Toyota,MDM Motorsports,12.0,Austin Hill,1.0
Toyota,MDM Motorsports,40.0,Anthony Alfredo,2.0
Toyota,MDM Motorsports,40.0,Sam Mayer,2.0
Toyota,Venturini Motorsports,55.0,Tom Hessert III,1.0
Toyota,Venturini Motorsports,55.0,Michael Self,4.0
Toyota,Venturini Motorsports,55.0,Brandon Lynn,2.0
Toyota,Venturini Motorsports,55.0,Eddie Fatscher,2.0
Toyota,Venturini Motorsports,55.0,Toni Breidinger,2.0
Chevrolet 1  Ford 3,Empire Racing,43.0,Sean Corr,2.0
Chevrolet 1  Ford 3,Empire Racing,43.0,Kaden Honeycutt,2.0
Ford 5 Chevrolet 2,Empire Racing,46.0,John Ferrier,1.0
Ford 5 Chevrolet 2,Empire Racing,46.0,Thad Moffitt,5.0
Ford 5 Chevrolet 2,Empire Racing,46.0,Sean Corr,1.0
Ford 3  Chevrolet 2,Hixson Motorsports,3.0,Joe Cooksey,3.0
Ford 3  Chevrolet 2,Hixson Motorsports,3.0,Steve Fox,2.0
Ford 12  Toyota 2,Ken Schrader Racing,52.0,Will Rodgers,5.0
Ford 12  Toyota 2,Ken Schrader Racing,52.0,Brandon Grosso,5.0
Ford 12  Toyota 2,Ken Schrader Racing,52.0,Ken Schrader,1.0
