Race Driver,Car Owner / Entrant,Chassis,Engine,Rounds
Brandon Stevenson,Brandon Stevenson,Stevenson,Chevrolet,2
Don Droud Jr.,Mark Burch Motorsports,Schnee,Parker Chevrolet,1
Tim Creech,Amanda Creech,DRC,J&D Chevrolet,2
Nick Bilbee,Epperson Racing,Spike,Claxton Chevrolet,4
Tyler Thomas,Epperson Racing,Spike,Claxton Chevrolet,5
Brandon Mattox,Fitzpatrick Autosports,DRC,Hampshire Chevrolet,5
Dakota Jackson,Dakota Jackson,DRC,Tranter Chevrolet,5
Kyle Cummins,Eberhardt/Zirzow Racing,DRC,Claxton,14
Kody Swanson,Rock Steady Racing,Mach-1,Foxco Chevrolet,7
Ryan Godown,Mick Wasitowski,Maxim,Kriner Chevrolet,2
Justin Grant,TOPP Motorsports,Maxim,Gaerte Engines,23
Donny Brackett,Brackett,,,1
Brady Ottinger,4J Motorsports,DRC,J&D Chevrolet,2
Daylan Chambers,Chambers Motorsports,,Motorsports Unlimited,1
Ryan Godown,R & M Motorsports,Triple X,Chevrolet,1
A.J. Hopkins,4J Motorsports,DRC,J&D Chevrolet,2
Joe Stornetta Jr.,Robin Dawkins,Maxim,Maxwell Mopar,2
Chris Windom,Baldwin Brothers Racing,DRC,Claxton Mopar,23
Logan Seavey,Chase Briscoe Racing,Maxim,Fisher,5
Thomas Meseraull,Chase Briscoe Racing,Maxim,Fisher,6
Colten Cottle,Rick Cottle,DRC,Foxco Chevrolet,2
Zach Daum,Daum Motorsports,Eagle,Stanton Chevrolet,5
Tom Harris,Tom Harris Motorsport,Beast,Gaerte Chevrolet,3
Shane Cottle,Goacher Racing,Maxim,Claxton Mopar,1
Kent Schmidt,Kent Schmidt,Spike,J&D Chevrolet,4
Kellen Conover,Kent Schmidt,Spike,J&D Chevrolet,1
Jordan Kinser,Jordan Kinser Racing,Maxim,Claxton Chevrolet,2
Matt McDonald,Matt McDonald,DRC,J&D Chevrolet,2
Daron Clayton,Kent Schmidt,Spike,J&D Chevrolet,2
Mario Clouser,Mario Clouser Motorsports,Maxim,Claxton Chevrolet,4
Bill Rose,Bill Rose Racing,DRC,Claxton Chevrolet,2
Timmy Buckwalter,LNB Motorsports,Twister,Hershsey Chevrolet,13
Tyler Courtney,Clauson/Marshall/Newman Racing,Spike,Rider Chevrolet,23
Trey Hivner,Shawn Hivner,Triple X,Zellers Chevrolet,1
Dan Shetler,Dan Shetler,Triple X,HP Chevrolet,1
Tony McVey,Tony McVey,Maxim,Williams Chevrolet,1
Kyle Lick,Terry Lick,Maxim,Chevrolet,2
Steve Sussex,Josh Burton Racing,DRC,Foxco Chevrolet,2
Shane Cockrum,Josh Burton Racing,DRC,Foxco Chevrolet,1
Aric Gentry,Larry Gentry,DRC,Peperak Chevrolet,4
James Lyerla,JL,,,1
Chad Boespflug,Cam Pottorff-Don Short,Spike,SPEC Chevrolet,2
Wyatt Burks,Don Rumsey,Maxim,Salina Chevrolet,2
Robert Ballou,Robert Ballou Motorsports,Boss DRC Twister-X,Ott Chevrolet,23
Kelly Graham,Kelly Graham,J&J,Sylvester Chevrolet,1
Harley Burns,Burns-Maurer-Youngblood Motorsports,Twister,Chevrolet,2
Ted Hines,Ted Hines Racing,DRC,J&D Chevrolet,1
Kyle Moddy,Rick Kaylor Racing,Rider,CS9,4
Coleman Gulick,Team Scorpion,Mach-1,Rider Chevrolet,1
Chad Wilson,Chad Wilson,DRC,Fisher Chevrolet,2
Trevor Kobylarz,RT Racing,Maxim,Chevrolet,3
Tyler Clem,Bubba Clem-TSR Motorsports,J&J,Stanton Chevrolet,2
Eric Jennings,Paul Pinkurous,Maxim,Ott Chevrolet,2
Jadon Rogers,Jadon Rogers,DRC,Engler Chevrolet,3
Mark Bitner,Mark Bitner,Mach-1,Bitner Chevrolet,2
Mike Martin,Mike Martin Racing,Maxim,Fisher Chevrolet,3
Harley Burns,Doug Rollson Racing,Stealth,Burns Chevrolet,1
Ben Knight,Tom Knight,Maxim,Tranter Chevrolet,1
Nick Bilbee,Bilbee Motorsports,DRC,J&D Chevrolet,6
Scotty Weir,On The Gass Racing,Maxim,J&D Chevrolet,1
Scotty Weir,On The Gass Racing,Maxim,J&D Chevrolet,4
Tyler Thomas,Michael Dutcher Motorsports,DRC Maxim,Fisher,2
Shane Cockrum,Michael Dutcher Motorsports,DRC Maxim,Fisher,1
Jerry Coons Jr.,Michael Dutcher Motorsports,DRC Maxim,Fisher,3
Kyle Robbins,KR Racing,Beast,Shaver Chevrolet,1
Jarett Andretti,Andretti Autosport Short Track,DRC,J&D Chevrolet,18
Dallas Hewitt,Todd Keen,DRC,Claxton Chevrolet,2
Terry Richards,Terry Richards,Triple X,Spanel Chevrolet,1
Jeff Bland Jr.,Waltz Racing,DRC,Kinser Chevrolet,1
R.J. Johnson,Reinbold-Underwood Motorsports,Spike,Wesmar Chevrolet,5
Joe Bares,Joe Bares,DRC,Claxton Chevrolet,1
Frank Carlsson,Frank Carlsson,Maxim,Heartbeat Chevrolet,3
Thomas Meseraull,Chris Dyson Racing,Maxim,Speedway Chevrolet,6
Carson Short,RCM Motorsports,DRC,SPEC Chevrolet,11
Carmen Perigo,John Stehman,Eagle,Chevrolet,6
Ryan Kitchen,Kitchen Motorsports,Spike,Chevrolet,1
Jerry Coons Jr.,Krockenberger Racing,Maxim,Krockenberger Chevrolet,2
Jason McDougal,Krockenberger Racing,Maxim,Krockenberger Chevrolet,5
Tyler Clem,Rick Pollock,Maxim,Advanced Chevrolet,4
Kody Barksdale,Barksdale Racing,Maxim,Barksdale Chevrolet,4
Slater Helt,Shawn Helt,Boss,Engine Connection Chevrolet,3
Shelby VanGilder,JR & Debbie VanGilder,DRC,Chevrolet,3
Brian Karraker,Karraker,,,1
Kody Swanson,Denny Karraker,Mach-1,Foxco Chevrolet,2
Todd Zinn,Todd Zinn,Triple X,Belmit Chevrolet,1
Landon Simon,Landon Simon Racing,DRC,J&D Chevrolet,5
Nate McMillin,Kenny McMillin,DRC,J&D Chevrolet,3
Brian VanMeveren,Karen Silvers,DRC,Shaver Chevrolet,1
Lee Underwood,Lee Underwood Racing,DRC,Foxco Chevrolet,1
Nate McMillin,Kenny McMillin,DRC,J&D Chevrolet,1
Brian Wallace,Wallace,,,1
Brandon Mattox,Mattox-Nigg Racing,DRC,SPEC Chevrolet,6
Travis Thompson,Mattox-Nigg Racing,DRC,SPEC Chevrolet,5
C.J. Leary,Leary Racing,DRC,1-Way Chevrolet,23
Chase Stockon,32 TBI Racing,DRC,Fisher Chevrolet,23
Garrett Aitken,Garrett Aitken,DRC,SPEC Chevrolet,3
