Pos,Grid,No.,Driver,Team,Manufacturer,Laps,Points
1,24,4,Kevin Harvick,Stewart-Haas Racing,Chevrolet,500,44
2,25,17,Ricky Stenhouse Jr.,Roush Fenway Racing,Ford,500,39
3,2,11,Denny Hamlin,Joe Gibbs Racing,Toyota,500,39
4,13,3,Austin Dillon,Richard Childress Racing,Chevrolet,500,37
5,12,34,Chris Buescher,Front Row Motorsports,Ford,500,36
6,1,19,Carl Edwards,Joe Gibbs Racing,Toyota,500,36
7,16,48,Jimmie Johnson,Hendrick Motorsports,Chevrolet,500,34
8,28,1,Jamie McMurray,Chip Ganassi Racing,Chevrolet,500,33
9,8,47,A. J. Allmendinger,JTG Daugherty Racing,Chevrolet,500,32
10,10,22,Joey Logano,Team Penske,Ford,500,32
11,11,88,Jeff Gordon,Hendrick Motorsports,Chevrolet,500,30
12,22,6,Trevor Bayne,Roush Fenway Racing,Ford,500,29
13,19,5,Kasey Kahne,Hendrick Motorsports,Chevrolet,500,28
14,17,43,Aric Almirola,Richard Petty Motorsports,Ford,500,27
15,6,24,Chase Elliott,Hendrick Motorsports,Chevrolet,500,27
16,34,16,Greg Biffle,Roush Fenway Racing,Ford,500,25
17,18,83,Matt DiBenedetto,BK Racing,Toyota,500,24
18,30,44,Brian Scott,Richard Petty Motorsports,Ford,499,24
19,26,95,Michael McDowell,Circle Sport-Leavine Family Racing,Chevrolet,499,22
20,32,38,Landon Cassill,Front Row Motorsports,Ford,497,21
21,37,23,David Ragan,BK Racing,Toyota,497,20
22,29,10,Danica Patrick,Stewart-Haas Racing,Chevrolet,496,19
23,7,78,Martin Truex Jr.,Furniture Row Racing,Toyota,496,18
24,23,42,Kyle Larson,Chip Ganassi Racing,Chevrolet,495,17
25,21,13,Casey Mears,Germain Racing,Chevrolet,495,16
26,33,7,Regan Smith,Tommy Baldwin Racing,Chevrolet,491,15
27,36,55,Reed Sorenson,Premium Motorsports,Chevrolet,489,14
28,15,31,Ryan Newman,Richard Childress Racing,Chevrolet,487,14
29,38,32,Jeffrey Earnhardt,Go FAS Racing,Ford,479,12
30,27,14,Tony Stewart,Stewart-Haas Racing,Chevrolet,471,11
31,31,15,Clint Bowyer,HScott Motorsports,Chevrolet,470,10
32,20,27,Paul Menard,Richard Childress Racing,Chevrolet,458,9
33,9,2,Brad Keselowski,Team Penske,Ford,458,8
34,35,98,Cole Whitt,Premium Motorsports,Chevrolet,442,7
35,4,21,Ryan Blaney,Wood Brothers Racing,Ford,437,6
36,40,30,Josh Wise,The Motorsports Group,Chevrolet,416,5
37,5,20,Matt Kenseth,Joe Gibbs Racing,Toyota,373,4
38,14,41,Kurt Busch,Stewart-Haas Racing,Chevrolet,372,3
39,3,18,Kyle Busch,Joe Gibbs Racing,Toyota,357,4
40,39,46,Justin Allgaier,HScott Motorsports,Chevrolet,354,0
