Item,Creator,Date,Construction,Pages,Size
Starfleet Academy Training Command: Line Officer Requirements Volume I,David Schmidt,1988,,136.0,8.5 x 11
Starfleet Academy Training Command: Staff Officer Requirements Volume II,David Schmidt,1987,,136.0,8.5 x 11
Starfleet Dynamics,David Schmidt,,,192.0,8.5 x 11
Starfleet Dynamics,David Schmidt,,,192.0,8.5 x 11
Starfleet Officer Requirements Vol.1,David Schmidt,1985,,38.0,8.5 x 11
Starfleet Officer Requirements Vol.2,David Schmidt,1987,,50.0,8.5 x 11
Starfleet Prototype: The Journal of Innovative Design and Ideas,David Schmidt,,,92.0,8.5 x 13
Warp Factor - Issue Four,"Don Corson, Don Falloon",1986,,40.0,8.5 x 11
Warp Factor - Issue Two,"Don Corson, Don Falloon",1976,,40.0,8.5 x 11
U.S.S. Cheyenne Operations Manual,Don W. Shanks,1994,,128.0,8.5 x 11
Star Fleet Medical Reference Manual,Eileen Palestine,1977,,160.0,8.5 x 11
Star Trek: The Next Generation - Officer's Manual,Fasa,1988,,144.0,8.5 x 11
Star Fleet Technical Manual First Edition,Franz Joseph,1975,,192.0,8.5 x 11
Star Fleet Technical Manual First Edition Second Printing,Franz Joseph,1975,,192.0,8.5 x 11
Star Trek - Fansom Triumphs,Geoffrey Mandel,1978,,32.0,8.5 x 11
The Starfleet Handbook -Aliens of Star Trek,Geoffrey Mandel,1977,,6.0,8.5 x 11
The Starfleet Handbook -Volume 10,Geoffrey Mandel,1977,,8.0,8.5 x 11
The Starfleet Handbook -Volume 11,Geoffrey Mandel,1977,,8.0,8.5 x 11
The Starfleet Handbook -Volume 12,Geoffrey Mandel,1978,,12.0,8.5 x 11
The Starfleet Handbook -Volume 13,Geoffrey Mandel,1978,,13.0,8.5 x 11
U.S.S. Enterprise Officer's Manual,Geoffrey Mandel,1980,,124.0,8.5 x 11
U.S.S. Enterprise Officer's Manual - Revised Edition,Geoffrey Mandel,,,124.0,8.5 x 11
From the Files of Star Fleet Command,Heihachiro Nogura,1980,,37.0,8.5 x 11
Jackill's Guide to Light Attack Craft Volume I,Jackill,1991,,106.0,8.5 x 11
Jackill's Star Fleet Reference Manual: Ships of the Fleet Volume I,Jackill,1992,,128.0,8.5 x 11
Jackill's Star Fleet Reference Manual: Ships of the Fleet Volume I - A-ERA,Jackill,2006,,160.0,8.5 x 11
Jackill's Star Fleet Reference Manual: Ships of the Fleet Volume II,Jackill,1993,,128.0,8.5 x 11
Jackill's Star Fleet Reference Manual: Ships of the Fleet Volume III,Jackill,1995,,128.0,8.5 x 11
24th Century - Ships of the Line - Volume Four,James T. Wappel,,,44.0,8.5 x 11
24th Century - Ships of the Line - Volume One,James T. Wappel,,,58.0,8.5 x 11
24th Century - Ships of the Line - Volume Three,James T. Wappel,,,44.0,8.5 x 11
24th Century - Ships of the Line - Volume Two,James T. Wappel,,,44.0,8.5 x 11
Starfleet Academy Training Manual,John Wetsch,Unknown,,11.0,8.5 x 11
USS Khai Tam Technical Orientation Manual,Kevin McNulty with Colin Toenjes,1994,,92.0,8.5 x 11
Historical Spacecraft of the Federation,Kumari Miyazaki,2002,.pdf,60.0,9 x 12
Federation Technological Survey - 2150 to 2370,Lawrence Miller,,,142.0,8.5 x 11
Star Fleet - Ships of the Star Fleet Technical Manual,Neale Davidson,2003,.pdf,36.0,8.5 x 11
Star Fleet - Starship Recognition Manual - Ships of the Baton Rouge Era,Neale Davidson,2005,.pdf,36.0,8.5 x 11
Star Fleet - Starship Recognition Manual - Volume One - Ships of Support 2268,Neale Davidson,2005,.pdf,36.0,8.5 x 11
Star Fleet - Starship Recognition Manual - Volume One - Ships of the Line 2268,Neale Davidson,2005,.pdf,36.0,8.5 x 11
Star Fleet - Starship Weaponry Guide 2268,Neale Davidson,2005,.pdf,16.0,8.5 x 11
Starfleet - Ships of the Constitution-Class Era - Volume One,Neale Davidson,2005,.pdf,40.0,8.5 x 11
Star Trek - Crew Member's Exploration Pack,No Illustrator Listed,1994,,24.0,6 x 8
Starfleet - Training Command/Starfleet Academy - Ship Recognition,No Illustrator Listed,,,43.0,8.5 x 11
Starfleet Hand Weapon Familiarization Handbook,No Illustrator Listed,,,29.0,8.5 x 11
Starfleet Technical Manual - Training Command/Starfleet Academy,No Illustrator Listed,,,28.0,8.5 x 11
Vulcan Harp Construction Plans - Vulcan Music Academy,Perry Wright,,,12.0,24 x 48
Federation Spaceflight Chronology - 1,Richard E. Mandel,2006,.pdf,48.0,8.5 x 11
Federation Spaceflight Chronology - 2,Richard E. Mandel,2007,.pdf,40.0,8.5 x 11
Federation Spaceflight Chronology - 3,Richard E. Mandel,2007,.pdf,39.0,8.5 x 11
Federation Spaceflight Chronology - 4,Richard E. Mandel,2007,.pdf,35.0,8.5 x 11
Federation Spaceflight Chronology - 5,Richard E. Mandel,2007,.pdf,39.0,8.5 x 11
Federation Spaceflight Chronology - 6,Richard E. Mandel,2007,.pdf,,8.5 x 11
Federation Spaceflight Chronology - 7,Richard E. Mandel,2007,.pdf,40.0,8.5 x 11
Federation Spaceflight Chronology - 8,Richard E. Mandel,2007,.pdf,38.0,8.5 x 11
Federation Spaceflight Chronology - 9,Richard E. Mandel,2007,.pdf,41.0,8.5 x 11
Federation Spaceflight Chronology - A,Richard E. Mandel,2007,.pdf,50.0,8.5 x 11
Intrepid Class Starship - Blueprints and Technical Guide,Rick Sternbach,,,20.0,8.5 x 11
USS Enterprise NCC-1701 - Constitution Class Refit - Familiarization Manual,Rick Sternbach,1978,,,11 x 17
Star Trek: The Next Generation Technical Manual,Rick Sternbach and Michael Okuda,1991,,99.0,8.5 x 11
Star Trek: Deep Space Nine Technical Manual,"Rick Sternbach, Herman Zimmerman, Doug Drexler",1998,,180.0,8.5 x 11
Star Fleet Data File - Volume 1,Robert J Dee,1991,,72.0,8.5 x 11
History of the Vessel Enterprise - From the 16th to the 24th Century,"Ronald M. Roden, Jr.",1992,,128.0,8.5 x 11
Spacecraft of Earth - Volume One: 1957-2063,Scott A. Akers,2002,.pdf,48.0,8.5 x 13
Mr. Scott's Guide to the Enterprise,Shane Johnson,1987,,128.0,8.5 x 11
Star Fleet Uniform Recognition Manual,Shane Johnson,1985,,80.0,8.5 x 11
Star Trek - The Worlds of the Federation,Shane Johnson,1989,,156.0,8.5 x 11
Star Trek - The Next Generation - Technical Journal,Shane Johnson,1987,,82.0,8.5 x 11
Weapons and Field Equipment Technical Manual,Shane Johnson,1984,,80.0,8.5 x 11
Star Trek Spaceflight Chronology 1980-2188,Stan and Fred Goldstein. Illustrated by Rick Sternbach,1980,,192.0,8.5 x 11
Ships of the Star Fleet - Akyazi - Class Perimeter Action Ships,Todd Guenther,1992,,92.0,9 x 12
Ships of the Star Fleet - Volume One,Todd Guenther,1988,,92.0,9 x 12
Ships of the Star Fleet: Akyazi-Class Perimeter Action Ships,Todd Guenther,1992,,92.0,9 x 12
Starship Design - Interstellar Forum for Naval Power,"Todd Guenther, Michael Morrissette",1984,,21.0,8.5 x 11
Jaynz - Ships of Star Fleet - 01,Neale Davidson,2007,.pdf,36.0,8.5 x 11
Jaynz - Ships of Star Fleet - 02,Neale Davidson,2007,.pdf,36.0,8.5 x 11
Jaynz - Ships of Star Fleet - 03,Neale Davidson,2007,.pdf,36.0,8.5 x 11
Jaynz - Ships of Star Fleet - 04,Neale Davidson,2007,.pdf,36.0,8.5 x 11
Jaynz - Ships of Star Fleet - 05,Neale Davidson,2007,.pdf,36.0,8.5 x 11
Technical File: Star Trek Devices,John Peel,1988,,,
