No,Player,Position,Previous Club,Apps,Tries,Goals,DG,Points
1,Zak Hardaker,Fullback,Featherstone Rovers,18,1,4,0,12
2,Tom Briscoe,Winger,Hull F.C.,13,9,0,0,36
3,Kallum Watkins,Centre,Academy,33,18,4,0,80
4,Joel Moon,Centre,Salford Red Devils,21,8,0,1,33
5,Ryan Hall,Wing,Academy,19,7,0,0,28
6,Danny McGuire,Stand off,Academy,13,0,0,0,0
7,Rob Burrow,Scrum half,Academy,28,6,0,0,24
8,Keith Galloway,Prop,Wests Tigers,30,1,0,0,4
9,Beau Falloon,Hooker,Gold Coast Titans,11,0,0,0,0
10,Adam Cuthbertson,Prop,Newcastle Knights,26,4,0,0,16
11,Jamie Jones-Buchanan,Second row,Academy,27,4,0,0,16
12,Carl Ablett,Second row,Academy,18,4,0,0,16
13,Stevie Ward,Loose forward,Academy,4,0,0,0,0
14,Liam Sutcliffe,Stand off,Academy,31,9,54,0,144
15,Brett Delaney,Second row,Gold Coast Titans,13,0,0,0,0
16,Brad Singleton,Prop,Academy,26,3,0,0,12
17,Mitch Garbutt,Prop,Brisbane Broncos,23,2,0,0,8
18,Jimmy Keinhorst,Centre,Academy,29,10,0,0,40
19,Mitch Achurch,Second row,Penrith Panthers,24,5,0,0,20
20,Anthony Mullally,Prop,Huddersfield Giants,21,2,0,0,8
21,Josh Walters,Second row,Academy,19,5,0,0,20
22,Ash Handley,Wing,Academy,24,7,0,0,28
23,Ashton Golding,Fullback,Academy,17,5,0,0,20
24,Jordan Baldwinson,Loose forward,Featherstone Rovers,2,0,0,0,0
25,Jordan Lilley,Scrum half,Academy,28,5,41,1,103
26,Brett Ferres,Second row,Huddersfield Giants,26,5,0,0,20
27,Sam Hallas,Hooker,Academy,3,0,0,0,0
28,Cameron Smith,Second row,Academy,2,0,0,0,0
29,Luke Briscoe,Wing,Academy,7,1,0,0,4
30,James Segeyaro,Hooker,Penrith Panthers,10,6,0,0,24
