Race / Ethnicity (NH = Non-Hispanic),Pop 2000,Pop 2010,Pop 2020,% 2000,% 2010,% 2020
White,94452,98533,103010,50.79%,41.35%,33.49%
Black or African American,48547,63584,70183,26.11%,26.68%,22.81%
Native American or Alaska Native,485,483,446,0.26%,0.20%,0.15%
Asian,4915,8756,12984,2.64%,3.67%,4.22%
Pacific Islander or Native Hawaiian,127,130,177,0.07%,0.06%,0.06%
Some other race,634,1688,3908,0.34%,0.71%,1.27%
Two or more races/Multiracial,4281,4643,15804,2.30%,1.95%,5.14%
Hispanic or Latino,32510,60483,101061,17.48%,25.38%,32.86%
Total,185951,238300,307573,100.00%,100.00%,100.00%
