Chart (2015),Peak position
Australian Albums,13
Belgian Albums,83
Belgian Albums,187
Danish Albums,37
Dutch Albums,95
French Albums,195
Irish Albums,38
New Zealand Albums,23
Norwegian Albums,35
UK Albums,16
US Billboard 200,4
US Top R&B/Hip-Hop Albums,1
