Year,Film,Role,Director,Co-artists
2007,Jiboner Cheye Dami,Jibon,Mustafizur Rahman Manik,Purnima
2007,Meye Sakkhi,Sabur Talukder,Malek Biswas,Shabnur
2007,Ekjon Shonge Chhilo,Monsur,Shawkat Jamil,Moushumi
2008,Sathi Tumi Kar,Raja,M M Sarkar,Purnima
2008,Tomakei Khujchi,Akash,Matin Rahman,Purnima
2008,Megher Koley Rod,Udoy,Nargis Akter,"Popy, Tony Dias"
2008,Ki Jadu Korila,Sagor,Chandan Chowdhury,"Popy, Mir Sabbir, Ratna"
2008,Akash Chhoa Bhalobasa,Akash,SA Haque Alik,Purnima
2008,Chandragrohon,Kashu,Murad Parvez,Sohana Saba
2009,Ke Ami: Who Am I,Akash,Wakil Ahmed,Purnima
2009,Tumi Amar Swami,Rawnak Chowdhury,Montazur Rahman Akbar,Shabnur
2009,Shubho Bibaho,Arman,Debashish Biswas,"Apu Biswas, Ferdous, Nipun"
2009,Mon Boshena Porar Table E,Akash,Abdul Mannan,Shabnur
2009,Ebadot,Khoka,ATM Shamsuzzaman,Shabnur
2009,Chirodin Ami Tomar,Anik,F I Manik,"Purnima, Rumana Khan, Amit Hasan"
2009,Mon Chuyeche Mon,Akash,Mustafizur Rahman Manik,"Shabnur, Jona"
2009,Chader Moto Bou,Sagor,Mohammad Hossain Jemi,"Shabnur, Nipun"
2009,Bodhu Tumi Kar,Maruf,B. R. Chowdhury,Shabnur
2009,Bhalobeshe Bou Anbo,Zahid Arman,Chandan Chowdhury,"Shabnur, Sahara"
2010,Jomidaar,Raju,Shaheen Sumon,Purnima
2010,Bajao Biyer Bajna,Rajib,Mohammad Hossain Jemi,"Apu Biswas, Jona, Kayes Arju"
2010,Hridoy Ache Jaar,,Ferdous Hasan,Purnima
2011,Modhumati,Abu,Shahjahan Chowdhury,Chaity
2011,Dui Purush,Shuvro,Chashi Nazrul Islam,"Moushumi, Nipun"
2011,Kusum Kusum Prem,Badol,Mushfiqur Rahman Gulzar,"Moushumi, Ferdous"
2011,Bondhu Tumi Amar,Manik,Nazrul Islam Khan,Purnima
2011,Ke Apon Ke Por,Special Appearance,Shaheen Sumon,"Amit Hasan, Apu Biswas"
2013,Shiri Forhad,Forhad,Gazi Mahbub,Shabnur
2014,"Lobhe Paap, Paape Mrittu",Sagor Chowdhury,Sohanur Rahman Sohan,"Purnima, Amin Khan"
2015,Sweetheart,Richard,Wazed Ali Sumon,"Bidya Sinha Saha Mim, Bappy Chowdhury"
2015,Krishnopokkho,Muhib,Meher Afroz Shaon,"Mahiya Mahi, Ferdous"
2015,Jonom Jonome,,Salauddin Lavlu,Shabnur
2022,Operation Sundarbans,Ishtiak Ahmed,Dipankar Dipon,"Siam Ahmed, Nusraat Faria, Taskeen Rahman, Ziaul Roshan, Darshana Banik"
2023,Radio,Sheikh Mujibur Rahman,Anonno Mamun,Zakia Bari Mamo
2023,Mujib: The Making of a Nation,Tajuddin Ahmed,Shyam Benegal,"Arifin Shuvoo, Tisha, Nusraat Faria"
