Road,From,To
B6000,"A6 at Pride Parkway flyover, Derby","A5194, London Road, Derby"
B6001,A619 north of Bakewell,A6187 at Hathersage
B6002,B5010 at Sandiacre,B6450 at Long Eaton railway station
B6003,"Stapleford, Nottinghamshire",Chilwell
B6004,"Arnold, Nottinghamshire","Stapleford, Nottinghamshire"
B6005,A52 in Bramcote,B6003 in Stapleford
B6005,A57 in Worksop,A616 north of Budby
B6006,A52 at Bramcote Hills,Beeston
B6007,A609 in Ilkeston,A6007 in Ilkeston
B6008,Bilborough,Bulwell
B6009,Hucknall,Watnall
B6010,Kimberley,Greasley
B6011,Hucknall,A60 at Burntstump Hill
B6012,Rowsley,Baslow
B6013,Belper,Shirland
B6014,Mansfield,Tansley
B6015,B6014 in Matlock,A619 Chatsworth Road west of Chesterfield
B6016,Lower Hartshay,Selston
B6017,Leabrookes,Somercotes
B6018,Sutton in Ashfield,Selston
B6019,Alfreton,Kirkby in Ashfield
B6020,Kirkby in Ashfield,Rainworth
B6021,Sutton in Ashfield,Annesley
B6022,A38 in Sutton in Ashfield,B6139 in Sutton in Ashfield
B6023,Intersection with A38 and A6075 east of Sutton in Ashfield,A38 west of Sutton in Ashfield
B6024,Worksop,Roundabout with A57 and A60
B6025,A61 north of Alfreton,Tibshelf
B6026,Sutton in Ashfield,Tibshelf
B6027,A38,Huthwaite
B6028,Sutton in Ashfield,Stanton Hill
B6029,Whinny Hill,B6021 near Skegby
B6030,Mansfield,A614 south of Ollerton
B6031,Church Warsop,B6407 east of Shirebrook
B6032,A60 in Mansfield Woodhouse,A6075 in Mansfield Woodhouse
B6033,Mansfield,Forest Town
B6034,Worksop,Rufford
B6035,Warsop,A6075
B6036,Kelstedge,B6014 near Stretton
B6037,A61 in Clay Cross,A617 in Heath
B6038,North Wingfield,Hasland
B6039,Chesterfield,Tibshelf
B6040,Roundabout with A57,Gateford
B6041,Manton,Gateford
B6042,A60 west of Welbeck Abbey,Creswell
B6043,Whitwell Common,A619 east of Whitwell
B6044,A638 in Retford,Retford railway station
B6045,Worksop,Drakeholes
B6046,A6 Loughborough Road in Quorndon,B675 in Quorndon
B6047,A607 at Melton Mowbray,A4304 at Market Harborough
B6048,A619 north of Bakewell,B6012 north of Edensor
B6049,Blackwell in the Peak,Brough-on-Noe
B6050,Chesterfield,A619 east of Baslow
B6051,Chesterfield,A621 at Owler Bar
B6052,Chesterfield,Eckington
B6053,Staveley,Beighton
B6054,Highlane,Calver
B6055,B6054 at Totley Moor,A625 near Fox House Inn
B6056,Eckington,Dronfield Woodhouse
B6057,Chesterfield,Dronfield
B6058,Mosborough,Killamarsh
B6059,South Anston,"Wales, South Yorkshire"
B6060,South Anston,Wickersley
B6061,A623 at Sparrowpit,A625 at Mam Tor
B6062,A6 near Whaley Bridge,A624 north of Chapel en le Firth
B6063,"A6135 in Gleadless, South Yorkshire",Gleadless
B6064,Gleadless,"Orgreave, South Yorkshire"
B6065,Gleadless,Handsworth
B6066,Woodhouse,Catcliffe
B6067,A57,Brinsworth
B6068,Beauchief,Ecclesall
B6069,Sheffield,Fulwood
B6070,City Road  in Sheffield,Burngreave Road  in Sheffield
B6071,"Farm Bridge , Sheffield","B6073, Attercliffe, Sheffield"
B6072,"A616 Duke Street, Sheffield","B6071 Bernard Road/Bernard Street, Sheffield"
B6073,"Exchange Place , Sheffield","Attercliffe Road , Attercliffe, Sheffield"
B6074,"Wicker , Sheffield",Penistone Road
B6075,"Sheaf Square, Sheffield","Fitzalan Square, Sheffield"
B6076,Malin Bridge,Low Holdworth
B6077,Malin Bridge,Low Holdworth
B6078,"B6079 Catch Bar Lane, Sheffield","A629  Penistone Road, Sheffield"
B6079,Worksop,A1 at Ranby
B6080,A6178 in Sheffield,B6082 in Sheffield
B6081,Sheffield,Heeley
B6082,Sheffield,Concord Park
B6083,A6178,B6082
B6084,"A61  Barnsley Road, North Sheffield","A630 , Attercliffe Common"
B6085,"A6178 in Attercliffe, Sheffield",A6102 in Darnall
B6086,Wincobank,"Harley, South Yorkshire"
B6087,Parson Cross,Ecclesfield
B6088,A616 west of Stocksbridge,A6102 east of Stocksbridge
B6089,Rotherham,Brampton
B6090,Hooton Roberts,Harley
B6091,Nether Haugh,Hoober
B6092,Swinton,Low Stubbin
B6093,Hooton Roberts,Bramley
B6094,Conisbrough,Wadworth
B6095,"A60  Cleveland Street, Doncaster",A1  Hall Gate
B6096,Hoyland,Darfield
B6097,Hoyland,Wath-upon-Dearne
B6099,Dodworth,Kingston
