Season,Venue,Location,Winner,Time,Distance,Date
2015,Golden Gate Park Polo Fields,"San Francisco, California",Garrett Heath,29:06,10K,"December 12, 2015"
2015,Golden Gate Park Polo Fields,"San Francisco, California",Amy Van Alstine,19:51,6K,"December 12, 2015"
2015,Rivers Edge Golf Course,"Bend, Oregon",Mattie Suver,36:38,10K,"February 6, 2016"
2015,Rivers Edge Golf Course,"Bend, Oregon",Craig Lutz,31:40,10K,"February 6, 2016"
2016,Apalachee Regional Park,"Tallahassee, Florida",Samuel Chelanga,28:55,10K,"December 10, 2016"
2016,Apalachee Regional Park,"Tallahassee, Florida",Colleen Quigley,19:31,6K,"December 10, 2016"
2016,Rivers Edge Golf Course,"Bend, Oregon",Aliphine Tuliamuk-Bolton,34:24,10K,"February 4, 2017"
2016,Rivers Edge Golf Course,"Bend, Oregon",Leonard Korir,30:12,10K,"February 4, 2017"
2017,Masterson Park,"Lexington, Kentucky",Ian La Mere,29:10,10K,"December 9, 2017"
2017,Masterson Park,"Lexington, Kentucky",Sarah Pagano,19:40,6K,"December 9, 2017"
2017,Apalachee Regional Park,"Tallahassee, Florida",Emily Infeld,33:19,10K,"February 3, 2018"
2017,Apalachee Regional Park,"Tallahassee, Florida",Leonard Korir,29:17,10K,"February 3, 2018"
2018,Plantes Ferry Sports Complex,"Spokane, Washington",Ben Blankenship,29:21,10K,"December 8, 2018"
2018,Plantes Ferry Sports Complex,"Spokane, Washington",Katie Mackey,19:35,6K,"December 8, 2018"
2018,Apalachee Regional Park,"Tallahassee, Florida",Shelby Houlihan,32:46.8,10K,"February 2, 2019"
2018,Apalachee Regional Park,"Tallahassee, Florida",Shadrack Kipchirchir,28:52.5,10K,"February 2, 2019"
2019,Lehigh University,"Bethlehem, Pennsylvania",Morgan Pearson,29:54,10K,"December 14, 2019"
2019,Lehigh University,"Bethlehem, Pennsylvania",Aisling Cuffe,20:07,6K,"December 14, 2019"
2019,Mission Bay Park,"San Diego, California",Natosha Rogers,35:44.3,10K,"January 18, 2020"
2019,Mission Bay Park,"San Diego, California",Anthony Rotich,30:35.8,10K,"January 18, 2020"
2021,Apalachee Regional Park,"Tallahassee, Florida",Frankline Tonui,30:14.6,10K,"December 11, 2021"
2021,Apalachee Regional Park,"Tallahassee, Florida",Natosha Rogers,19:42.0,6K,"December 11, 2021"
2021,Mission Bay Park,"San Diego, California",Alicia Monson,34:01,10K,"January 8, 2022"
2021,Mission Bay Park,"San Diego, California",Shadrack Kipchirchir,30:32,10K,"January 8, 2022"
2022,Golden Gate Park,"San Francisco, California",Cole Hocker,26:28,~9.6K,"December 10, 2022"
2022,Golden Gate Park,"San Francisco, California",Bethany Hasz,17:54,~5.6K,"December 10, 2022"
2022,Pole Green Park,"Richmond, Virginia",Ednah Kurgat,32:07,10K,"January 21, 2023"
2022,Pole Green Park,"Richmond, Virginia",Emmanuel Bor,28:44,10K,"January 21, 2023"
2023,Apalachee Regional Park,"Tallahassee, Florida",Tai Dinger,30:48.0,10K,"December 9, 2023"
2023,Apalachee Regional Park,"Tallahassee, Florida",Amanda Vestri,20:06.3,6K,"December 9, 2023"
2023,Pole Green Park,"Richmond, Virginia",Weini Kelati,32:58.6,10K,"January 20, 2024"
2023,Pole Green Park,"Richmond, Virginia",Cooper Teare,29:06.2,10K,"January 20, 2024"
2024,Chambers Creek Regional Park,"Tacoma, Washington",Kenneth Rooks,31:09,10K,"December 14, 2024"
2024,Chambers Creek Regional Park,"Tacoma, Washington",Allie Buchalski,20:28,6K,"December 14, 2024"
2024,Chaparral Ridge Cross Country Course,"Lubbock, Texas",Carrie Ellwood,34:22,10K,"January 11, 2025"
2024,Chaparral Ridge Cross Country Course,"Lubbock, Texas",Bernard Keter,29:43,10K,"January 11, 2025"
