Year,Title,Role
1982,Dead Ringer,Biker
1982,1990: The Bronx Warriors,Outlaw Biker
1984,Streets of Fire,Bombers Gang Member
1985,Year of the Dragon,Cab Driver/Cop
1991,Neon City,Bus Attacker
1993,Nowhere to Run,Prisoner
1993,New York Cop,Mafia Leader
1993,Carlito's Way,Club Bouncer
1993,"Love, Cheat & Steal",Jake
1994,Jimmy Hollywood,Gangster
1994,Bad Blood,Toots
1994,Sensation,The Bartender
1994,Love is a Gun,Cop
1995,Red Line,Dick
1996,The Juror,Frankie
1996,Heaven's Prisoners,Tony
1996,The Funeral,Zito
1996,Squanderers,Jerry
1998,Gia,Biker
1998,Scar City,Guard
1998,No Code of Conduct,Guard
1999,Black & White,Chuck
1999,Me and Will,Biker
1999,Man on the Moon,Tony Clifton / Biker
2000,Table One,The Chef
2001,Street Justice,The Host
2003,This Thing of Ours,DeGrazio Soldier
2004,Brooklyn Bound,Anthony
2004,Coalition,Vinnie
2005,Remedy,Captain Sallie
2005,Searching for Bobby D,Freddy Knuckles
2005,The Signs of the Cross,Tony Esposito
2005,Carlito's Way: Rise to Power,Buck
2005,Tinsel Town,Rubenstein
2009,Under New Management,Don DeRossi
2010,13,Ted
2011,The Grasslands,Matty
2013,Homefront,Danny Danny T Turrie
2014,Collection,Joe
2015,The Martial Arts Kid,Frank
2015,Street Level,Carmine
2016,Saturday in the Park,Danny Danny V
2016,Female Fight Club,Zeke
2017,Cops and Robbers,Randy
2017,Blood Circus,Dominick
2018,Fury of the Fist and the Golden Fleece,FDA Special Agent
2018,Black Wake,Sheriff Williams
2018,King of Newark 2,Big Al
2018,Treasure Hunter: Legend of the White Witch,Jorge
2018,Honor Amongst Men,Frank LaCarver
2018,Father and Father,Udo
2019,Vault,Joey Bruno
2020,Mott Haven,Ray Pizzalongo
2022,Demon Pit,Biker
2023,The Weapon,Lemmy
2023,Phoenix,Bullet
