Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
Danny Ainge,6,6,39.0,0.5,0.429,1.0,3.0,5.0,1.2,0.3,12.5
Larry Bird,6,6,42.3,0.445,0.5,0.921,10.0,5.5,1.2,1.2,24.2
Darren Daye,6,0,8.3,0.625,0.0,1.0,1.3,0.7,0.2,0.2,4.5
Conner Henry,4,0,3.8,0.444,0.0,0.5,0.8,0.0,0.0,0.0,2.5
Dennis Johnson,6,6,40.7,0.481,0.125,0.885,4.3,9.3,0.5,0.5,21.0
Greg Kite,6,0,12.7,0.222,0.0,0.5,3.0,0.8,0.3,0.8,0.8
Kevin McHale,6,6,38.5,0.585,0.0,0.818,9.0,2.0,0.2,1.0,20.5
Robert Parish,6,6,30.5,0.592,0.0,0.593,6.5,1.2,0.8,1.2,16.7
Fred Roberts,5,0,8.0,0.727,0.0,0.545,1.8,0.6,0.2,0.0,4.4
Jerry Sichting,6,0,9.3,0.267,0.0,0.0,0.7,1.8,0.3,0.0,1.3
Sam Vincent,4,0,8.3,0.5,0.0,0.7,1.0,1.3,0.3,0.3,4.8
Bill Walton,5,0,4.8,0.6,0.0,0.0,1.0,0.2,0.0,0.2,1.2
