Position,Name
Manager,Mark Cooper
Assistant manager,Chris Todd
First team coach,Richard Dryden
Goalkeeping coach,Matthew Gould
Head of football operations,Ian Weston
Head sports therapist,Joe Stacey
Academy manager,Jamie Phillip
EPDP and U18s manager,Matt Percival
