No,Player,1,2,3,5,6,7,9,10,11,12,13,14,15,16,17,18,4,19,20,21,22,8,23,24,25,26,27
1,Zak Hardaker,FB,FB,FB,,,,,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,C,FB,FB,C,FB,FB
2,Ben Jones-Bishop,,,,,,,,,,,,,,,,,W,W,W,W,W,FB,W,W,FB,W,W
3,Kallum Watkins,C,C,C,FB,FB,FB,FB,FB,W,W,W,W,C,C,C,,,,C,C,C,,C,C,C,C,C
4,Joel Moon,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,,,C,C
5,Ryan Hall,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,W,W,W
6,Danny McGuire,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,,,,,,,,,,,SH,SH
7,Rob Burrow,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,x,H
8,Kylie Leuluai,,x,P,P,P,P,P,,P,P,P,P,P,P,P,P,,,,,,B,P,P,P,B,P
9,Paul McShane,B,B,B,B,B,x,x,B,B,B,B,B,x,B,B,H,H,H,H,H,H,x,B,H,H,,
10,Jamie Peacock,P,P,x,P,B,P,P,P,P,P,P,P,,,,P,P,P,P,P,P,P,P,P,P,P,P
11,Jamie Jones-Buchanan,SR,SR,P,L,L,SR,SR,SR,L,L,L,L,SR,SR,SR,SR,SR,SR,,,,,,,,,SR
12,Carl Ablett,L,L,L,C,C,C,C,C,C,C,C,C,,,,,,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR
13,Kevin Sinfield,SO,SO,SO,SO,SO,SO,SO,SO,SO,SO,SO,SO,SO,SO,SO,SO,,,,,,H,H,SO,SO,H,SO
14,Stevie Ward,x,x,SR,SR,B,B,B,L,SR,SR,SR,,,,,,,,,,,,,,,,
15,Brett Delaney,SR,SR,x,SR,SR,SR,SR,SR,,,SR,SR,SR,,SR,SR,,,,,B,L,L,,,,B
16,Ryan Bailey,P,P,,,L,x,L,P,,,,B,P,P,P,L,,,,,,,,,,L,
17,Ian Kirke,B,B,B,B,P,B,B,B,,B,B,B,B,B,B,B,P,B,B,B,P,B,B,B,B,B,B
18,Chris Clarkson,B,B,SR,B,SR,x,x,x,B,B,B,B,L,SR,L,,SR,B,SR,SR,SR,SR,SR,SR,SR,SR,x
19,Mitch Achurch,B,B,B,x,x,B,B,B,SR,SR,B,SR,B,B,,B,B,B,B,B,,,,,x,B,B
20,Darrell Griffin,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
21,Richard Moore,x,x,B,B,B,B,B,B,B,x,x,x,B,x,x,x,B,P,P,P,B,B,B,L,B,x,x
22,Jimmy Keinhorst,x,W,W,x,x,x,x,x,x,x,x,x,x,x,x,C,C,C,B,B,B,x,x,W,x,x,x
23,Brad Singleton,x,x,x,x,x,x,x,x,B,B,x,x,x,B,B,B,L,L,L,L,L,P,x,x,B,P,L
24,Liam Hood,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
25,Joe Vickery,W,,,W,W,W,W,W,,,,x,W,W,W,,,,,,,,,x,x,x,x
26,Liam Sutcliffe,x,x,x,x,x,x,x,x,x,x,x,x,B,L,B,B,SO,SO,SO,SO,SO,SO,SO,C,L,SO,B
27,Thomas Minns,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,B,C,x,x,x,x,x,x,x,x,x
28,Jordan Baldwinson,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,B,B,x,x,x,x,x,x,x,x,x
30,Alex Foster,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,B,B,B,B,B,B,B,B,x
31,Elliott Minchella,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,B,x,x,x
32,James Duckworth,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,x,x,W,x,x
