Year,Award,Category,Recipient,Result
2014,Teen Choice Awards,Choice Summer TV Show,Girl Meets World,Nominated
2015,Writers Guild of America Award,Children's Script - Episodic and Specials,Matthew Nelson for Girl Meets 1961,Nominated
2015,Teen Choice Awards,Choice TV Show: Comedy,Girl Meets World,Nominated
2015,Primetime Creative Arts Emmy Awards,Outstanding Children's Program,Girl Meets World,Nominated
2016,Writers Guild of America Award,Children's Script - Episodic and Specials,Mark Blutman for Girl Meets I Am Farkle,Nominated
2016,Kids' Choice Awards,Favorite TV Show,Girl Meets World,Nominated
2016,Artios Awards,Children's Pilot and Series,Girl Meets World,Won
2016,Teen Choice Awards,Choice Summer TV Show,Girl Meets World,Nominated
2016,Kids Choice Awards Mexico,Favorite International Program,Girl Meets World,Nominated
2016,Primetime Creative Arts Emmy Awards,Outstanding Children's Program,Girl Meets World,Nominated
2017,Writers Guild of America Award,Children's Script - Episodic and Specials,Joshua Jacobs & Michael Jacobs for Girl Meets Commonism,Nominated
2017,Producers Guild of America Award,Outstanding Children's Program,Girl Meets World,Nominated
2017,Humanitas Prize,Children's Live Action,Matthew Nelson for Girl Meets the Forgiveness Project,Nominated
2017,Kids' Choice Awards,Favorite TV Show,Girl Meets World,Nominated
2017,Primetime Creative Arts Emmy Awards,Outstanding Children's Program,Girl Meets World,Nominated
