Aircraft,Total,Introduced,Retired
Boeing 707-320C,1,1993,1994
Boeing 727-100,1,1985,1987
Boeing 737-100,1,1980,1980
Boeing 737-100,1,1988,1993
Boeing 737-200,21,1988,2005
Boeing 737-200,1,1988,1992
Boeing 737-700,11,1999,2020
Convair CV-240,1,1968,1969
Convair CV-340,1,1968,1974
Curtiss C-46 Commando,3,1956,1960
Douglas C-47 Skytrain,3,1947,1982
Douglas DC-6B,1,1981,1982
Embraer 190AR,15,2005,2020
Hawker Siddeley HS 748,2,1969,1978
Lockheed L-188A Electra,3,1971,1986
Martin 4-0-4,1,1961,1965
