Year,Title,Role
1982,Farrell for the People,Denise Grey
1987,Enemy Territory,Antoinette Toni Briggs
1988,Moving,Casey Pear
1989,Tennessee Waltz,Minnie
1992,Mo' Money,Amber Evans
1994,Renaissance Man,Pvt. Miranda Myers
1995,Clueless,Dionne Davenport
1995,Illegal in Blue,Kari Truitt
1997,Cold Around the Heart,Bec Rosenberg
1999,Personals,Leah
2001,The Painting,Hallie Gilmore at 18
2002,Paper Soldiers,Tamika
2003,View from the Top,Angela Samona
2003,Gang of Roses,Kim
2003,Ride or Die,Real Venus
2005,Lethal Eviction,Amanda Winters
2006,Getting Played,Emily
2007,I Could Never Be Your Woman,Brianna Minx
2007,Ghost Image,Alicia Saunders
2008,Christmas Break,Smokin' Woman
2008,Nora's Hair Salon 2: A Cut Above,Simone
2008,Fashion Victim,Cara Wheeler
2008,Phantom Punch,Geraldine Liston
2008,Secrets of a Hollywood Nurse,Reporter
2009,Wild About Harry,Joy Crowley
2009,Chrome Angels,Lady
2012,Dysfunctional Friends,Lisa
2012,House Arrest,Chanel
2013,Blue Butterflies,Faith
2014,Lap Dance,Dr. Annie Jones
2014,Patient Killer,Nancy Peck
2015,Cloudy with a Chance of Love,Kelly
2016,Sharknado: The 4th Awakens,Chicago Mayor Mansfield
2016,The Thinning,Kendra Birch
2018,Honor Up,Tara
2019,The Dawn,Sister Ella
2020,First Lady,Channing
2020,Roe v. Wade,Mildred Jefferson
2021,Carolina's Calling,Mary Lou
2022,7th Secret,Miss Vivian
2022,Corsicana,Jennie
2024,Four.,Beth
