Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
Danny Ainge,7,0,14.0,0.432,0.25,0.5,1.1,2.1,0.7,0.0,6.0
Larry Bird,7,7,43.6,0.484,0.667,0.842,14.0,3.6,2.1,1.1,27.4
Quinn Buckner,7,0,8.0,0.333,0.0,0.5,0.9,0.6,0.1,0.0,2.0
M. L. Carr,4,0,7.0,0.364,0.0,0.833,0.8,0.5,0.5,0.0,3.3
Carlos Clark,3,0,3.7,0.4,0.0,0.0,0.3,0.0,0.0,0.3,1.3
Gerald Henderson,7,7,25.6,0.468,0.0,0.667,2.6,4.0,1.4,0.0,12.3
Dennis Johnson,7,7,36.4,0.395,0.5,0.865,3.0,4.7,1.6,0.3,17.6
Greg Kite,4,0,3.3,0.25,0.0,0.0,0.3,0.5,0.0,0.3,0.5
Cedric Maxwell,7,7,34.6,0.458,0.0,0.855,5.6,3.3,1.1,0.3,13.0
Kevin McHale,7,0,30.6,0.452,0.0,0.778,5.9,1.1,0.3,1.1,13.4
Robert Parish,7,7,36.6,0.44,0.0,0.588,11.4,1.3,1.6,1.6,15.4
Scott Wedman,4,0,18.3,0.459,0.5,0.0,5.3,2.5,0.0,0.0,9.3
