Chart (2010),Peak position
Australian Albums,81
Australian Urban Albums,6
Belgian Albums,98
Canadian Albums,1
Dutch Albums,71
French Albums,117
German Albums,34
Greek Albums,35
Irish Albums,32
Japanese Albums,61
New Zealand Albums,35
Scottish Albums,39
Swiss Albums,69
UK Albums,15
UK R&B Albums,1
US Billboard 200,1
US Top R&B/Hip-Hop Albums,1
