Year,Title,Role
1957,Twilight Train,
1958,The Lullaby,
1958,A Mother's Love,Sin-ho
1958,The Tears,
1958,The First Snow,
1959,A Sister's Garden,
1959,Defiance of a Teenager,
1959,A Long Affection,
1959,Even Love is Passing,
1960,A Tragedy on Earth,
1960,Over The Hill,
1960,The Housemaid,Chang-sun
1960,A Love History,Seok-jae
1960,Mother Earth,
1961,"Don't Worry, Mother!",
1961,My Sister Is a Hussy,
1961,A Dream of Fortune,
1962,"As Time Passes, Love and Sorrow Will...",child
1962,A Salaryman,
1962,"Bravo, Young Ones!",child
1962,Mojacho,
1962,Only for You,
1963,A Winter Vagabond,
1963,The Overbridge of Hyeonhae Strait,
1963,The Wife and the Woman,
1963,Angry Cosmos,child
1964,The Apron,
1964,The Teacher with Ten Daughters,
1964,Just Watch What We Do and See,
1965,A Legend of Urchins,
1965,The Nickname of the Student,
1965,44 Myeongdong,
1966,Yeraehyang,
1967,The White Crow,
1977,The Soldier and the Girls,
1978,The Third Mission,
1979,Night Markets,
1979,Uyoil,
1980,"A Fine, Windy Day",Doek-bae
1981,Mandala,Beop-un
1981,A Dwarf Launches a Little Ball,Yeong-su
1981,Children of Darkness,Tae-bong
1982,Another's Nest,
1982,Village in the Mist,Kae-cheol
1982,People in the Slum,Ju-seok
1982,Come Unto Down,Mr. Sung
1982,Polluted Ones,
1982,Iron Men,
1983,Lying Like Grass,
1983,The Flower at the Equator,
1984,Whale Hunting,Min-woo
1984,"The Deep, Deep Place",
1984,Between the Knees,Cho-bin
1984,Warm It Was That Winter,Il-hwan
1985,Whale Hunting 2,
1985,Deep Blue Night,Baek Ho-bin
1985,Eoudong,Gal-mae
1986,Hwang Jin-yi,
1986,Lee Jang-ho's Baseball Team,Hye-sung
1986,Moonlight Hunter,Jeong-ho
1986,Winter Wanderer,
1986,Eunuch,
1987,Our Joyful Young Days,Kim Young-min
1987,Hello God,Kim Byung-tae
1987,Seongnisuildyeon,
1988,Chilsu and Mansu,Mansu
1988,The Age of Success,Kim Pan-chok
1988,Gagman,Lee Jeong-se
1990,Nambugun,Lee Tae
1990,The Dream,Jo Shin
1991,Stairways of Heaven,Kim Yeong-kyun
1991,Teenage Love Song,Jae-chil
1991,Berlin Report,Seong-min
1991,Who Saw the Dragon's Toenail?,Choi Jong-su
1992,White Badge,Han Ki-ju
1992,Blue in You,Lee Ho-suk
1993,Two Cops,Jo Hyeong-sa
1993,To the Starry Island,Kim Cheol
1994,The Eternal Empire,Jeong Ju
1994,The Taebaek Mountains,Kim Boem-u
1994,"Mom, the Star, and the Sea Anemone",Choi Seon-jang
1994,Affliction of Man,
1995,The Hair Dresser,Henri Park
1995,Declaration of Genius,Lee Sang-han
1996,Festival,Lee Jun-seop
1996,The Adventure of Mrs. Park,Mr. X
1996,Sleeping Man,Takuji
1998,Alien,Kim
1998,Bedroom and Courtroom,Myeong Seong-ki
1998,Spring in My Hometown,Seong-min's father
1998,The Soul Guardians,Park Shin-bu
1998,Art Museum by the Zoo,In-gong
1999,Nowhere to Hide,Chang Seong-min
1999,Black Hole,Na
1999,Andante Cantabile,No Gwa-jang
2000,Truth Game,Jo Geom-sa
2000,Kilimanjaro,Beon-ge
2000,Musa,Jin-rib
2001,The Last Witness,Hwang Seok
2001,"My Beautiful Girl, Mari",Gyeong-min
2002,Chi-hwa-seon,Kim Byeong-moon
2002,The Romantic President,President Han Min-wook
2003,Silmido,Jae-hyeon
2003,Mr. Lady,
2004,The Bad Utterances,narrator
2004,Arahan,Ja-woon
2005,Duelist,Detective Ahn
2006,Hanbando,President
2006,A Battle of Wits,Xiang Yan-zhong
2006,Radio Star,Park Min-su
2007,May 18,Heung-su
2008,My New Partner,Father Kang Min-ho
2008,The Divine Weapon,King Sejong
2010,The Fair Love,Hyeong-man
2011,"Ari, Ari, The Korean Cinema",himself
2011,Fool,narrator
2011,Pacemaker,Coach Park Seong-il
2011,Sector 7,Lee Jeong-man
2012,Unbowed,Kim Kyeong-ho
2012,Superstar,Himself
2012,The Tower,Seo-jang
2013,Jury,Seong-ki
2013,Rough Play,cameo
2013,Top Star,Kim Kyung-min
2014,Tabloid Truth,Nam Jung-in
2014,The Divine Move,Ju-nim
2014,Revivre,Oh Jeong-seok
2015,Last Knights,Auguste
2015,Love and...,Grandfather
2016,The Hunt,Moon Ki-sung
2018,"Human, Space, Time and Human",The old man
2019,The Divine Fury,Father Ahn
2020,Paper Flower,Yoon Sung-Kil
2021,In the Name of the Son,Oh Chae Geun
2022,Cassiopeia,In-woo
2022,Hansan: Rising Dragon,Eo Yeong-dam
2022,Birth,Yoo Jin-gil
