Name,District,Party,City,First elected
Johnny Tadlock,1,Dem,Idabel,2014
John R. Bennett,2,Rep,Sallisaw,2010
Rick West,3,Rep,,2016
Matt Meredith,4,Dem,,2016
Josh West,5,Rep,,2016
Chuck Hoskin,6,Dem,Vinita,2006
Ben Loring,7,Dem,Miami,2014
Tom Gann,8,Rep,,2016
Mark Lepak,9,Rep,Claremore,2014
Travis Dunlap,10,Rep,Bartlesville,2014
Earl Sears,11,Rep,Bartlesville,2006
Kevin McDugle,12,Rep,,2016
Avery Frix,13,Rep,,2016
George Faught,14,Rep,Muskogee,2014
Ed Cannaday,15,Dem,Porum,2006
Scott Fetgatter,16,Rep,,2016
Brian Renegar,17,Dem,McAlester,2006
Donnie Condit,18,Dem,McAlester,2010
Justin Humphrey,19,Rep,Lane,2016
Bobby Cleveland,20,Rep,,2012
Dustin Roberts,21,Rep,Durant,2010
Charles McCall,22,Rep,Atoka,2012
Terry O'Donnell,23,Rep,Tulsa,2013
Steve Kouplen,24,Dem,Holdenville,2008
Todd Thomsen,25,Rep,Ada,2006
Dell Kerbs,26,Rep,Shawnee,2016
Josh Cockroft,27,Rep,,2010
Zack Taylor,28,Rep,Seminole,2017
Kyle Hilbert,29,Rep,,2016
Mark Lawson,30,Rep,,2016
Jason Murphey,31,Rep,Guthrie,2006
Kevin Wallace,32,Rep,Chandler,2014
Greg Babinec,33,Rep,,2016
Cory T. Williams,34,Dem,Stillwater,2008
Dennis Casey,35,Rep,Morrison,2010
Sean Roberts,36,Rep,Hominy,2010
Steve Vaughan,37,Rep,Ponca City,2010
John Pfeiffer,38,Rep,Mulhall,2014
Ryan Martinez,39,Rep,Edmond,2016
Chad Caldwell,40,Rep,Enid,2014
John Enns,41,Rep,Waukomis,2006
Timothy J. Downing,42,Rep,,2016
John Paul Jordan,43,Rep,Yukon,2014
Emily Virgin,44,Dem,Norman,2010
Claudia Griffith,45,Dem,Norman,2014
Scott Martin   Jacob Rosecrants,46,Rep then Dem,Norman,2017
Leslie Osborn,47,Rep,Mustang,2008
Pat Ownbey,48,Rep,Ardmore,2008
Tommy Hardin,49,Rep,Madill,2010
Marcus McEntire,50,Rep,Duncan,2006
Scott Biggs,51,Rep,,2012
Charles Ortega,52,Rep,Altus,2008
Mark McBride,53,Rep,Moore,2012
Kevin West,54,Rep,,2016
Todd Russ,55,Rep,Cordell,2009
David Perryman,56,Dem,Grady County,2012
Harold Wright,57,Rep,Weatherford,2008
Carl Newton,58,Rep,Dacoma,2016
Mike Sanders,59,Rep,Kingfisher,2008
Rhonda Baker,60,Rep,,2016
Casey Murdock,61,Rep,Guymon,2014
John Montgomery,62,Rep,Lawton,2014
Jeff Coody,63,Rep,Faxon,2014
Rande Worthen,64,Rep,,2016
Scooter Park,65,Dem,Rush Springs,2014
Jadine Nollan,66,Rep,Sand Springs,2010
Scott McEachin,67,Rep,Tulsa,2016
Glen Mulready,68,Rep,Tulsa,2010
Chuck Strohm,69,Rep,Jenks,2014
Carol Bush,70,Rep,Tulsa,2016
Katie Henke,71,Rep,Tulsa,2012
Monroe Nichols,72,Dem,Tulsa,2016
Regina Goodwin,73,Dem,Tulsa,2015
Dale Derby,74,Rep,Owasso,2016
Dan Kirby   Karen Gaddis,75,Dem,Tulsa,2017
David Brumbaugh  Ross Ford,76,Rep,Broken Arrow,2017
Eric Proctor,77,Dem,Tulsa,2006
Meloyde Blancett,78,Dem,Tulsa,2016
Weldon Watson,79,Rep,Tulsa,2006
Mike Ritze,80,Rep,Broken Arrow,2008
Mike Osburn,81,Rep,Edmond,2016
Kevin Calvey,82,Rep,Oklahoma City,2014
Randy McDaniel,83,Rep,Oklahoma City,2006
Tammy West,84,Rep,Oklahoma City,2016
Cyndi Munson,85,Dem,,2015
William Fourkiller,86,Dem,Stilwell,2010
Collin Walke,87,Dem,Oklahoma City,2016
Jason Dunnington,88,Dem,Oklahoma City,2014
Shane Stone,89,Dem,Oklahoma City,2014
Jon Echols,90,Rep,Oklahoma City,2012
Chris Kannady,91,Rep,Oklahoma City,2014
Forrest Bennett,92,Dem,Oklahoma City,2016
Mickey Dollens,93,Rep,Oklahoma City,2016
Scott Inman,94,Dem,Oklahoma City,2006
Roger Ford,95,Rep,Midwest City,2016
Lewis H. Moore,96,Rep,Edmond,2008
Jason Lowe,97,Dem,Oklahoma City,2016
Michael Rogers,98,Rep,Tulsa,2014
George Young,99,Dem,Oklahoma City,2014
Elise Hall,100,Rep,Oklahoma City,2010
Tess Teague,101,Rep,,2016
