Year,Title,Role
2003,Romantic Assassins,Assassin
2003,1+1=6,
2005,A Bittersweet Life,Min-gi
2006,A Dirty Carnival,Jong-soo
2006,Ice Bar,In-baek
2006,Love Me Not,Mickey / Tae-ho
2007,Epitaph,Park Jung-nam
2008,Truck,Kim Young-ho
2008,The ESP Couple,Su-min
2009,Mother,Jin-tae
2010,Le Grand Chef 2: Kimchi Battle,Seong-chan
2011,The Showdown,Do-young
2011,Moby Dick,Yoon Hyuk
2011,Always,Pottery store owner
2012,26 Years,Kwak Jin-bae
2014,The Target,Baek Sung-hoon
2014,The Admiral: Roaring Currents,Lim Jun-young
2014,Late Spring,
2015,C'est Si Bon,Lee Jang-hee
2015,Northern Limit Line,Han Sang-gook
2017,One Line,Suk-goo
2018,Heung-boo: The Revolutionist,Nolbu
2021,You're Precious to Me,Park Jae-shik
2022,The Witch: Part 2. The Other One,Yong-du
