#,Name,Air date
1,Whisky,"April 7, 2016"
2,Quest for Perfect Skin,"April 14, 2016"
3,Bladed Tools,"April 21, 2016"
4,Family Crests,"May 5, 2016"
5,Breakfast,"May 12, 2016"
6,Footwear,"May 19, 2016"
7,Running,"June 2, 2016"
8,Emoji,"June 16, 2016"
9,Ekiben,"June 23, 2016"
10,Bicycles,"June 30, 2016"
11,Kimono,"July 7, 2016"
12,Kokeshi Dolls,"July 28, 2016"
13,Shinise - Long-Established Businesses,"August 4, 2016"
14,Japanophiles: Rezaul Karim Chowdhury,"August 11, 2016"
15,Toilets,"August 18, 2016"
16,Bridges,"August 25, 2016"
17,A Nation of Singers,"September 1, 2016"
18,Restoring Castles,"September 8, 2016"
19,Volcanoes,"September 29, 2016"
20,School Club Activities,"October 6, 2016"
21,Smells,"October 13, 2016"
22,Paper,"October 20, 2016"
23,Japanophiles: Paul Lorimer,"November 3, 2016"
24,Katsuobushi,"December 1, 2016"
25,Day Care for Kids,"December 8, 2016"
26,Sweets and Snacks,"December 15, 2016"
27,Hairdressing,"December 22, 2016"
28,Japanophiles: Carine Lafitte,"January 5, 2017"
29,Noh Theater,"January 26, 2017"
30,Moving Services,"February 2, 2017"
31,Okinawan Karate,"February 9, 2017"
32,Sleep,"February 16, 2017"
33,Tokyo Rail Network,"February 23, 2017"
34,Denim,"March 2, 2017"
35,Japanophiles: Randy Channell Soei,"March 9, 2017"
36,Japanophiles: Zoe Vincent,"March 30, 2017"
37,Buddhist Altars,"April 4, 2017"
38,Driving Schools,"April 12, 2017"
39,Curry,"April 19, 2017"
40,Cafes,"May 2, 2017"
41,Japanophiles: Yoram Ofer,"May 23, 2017"
42,School Lunch,"June 6, 2017"
43,Capsule Toys,"June 20, 2017"
44,Buses,"June 27, 2017"
45,Traditional Music,"July 4, 2017"
46,Traditional Music in Modern Life,"July 11, 2017"
47,Japanophiles: Nsenda Lukumwena,"July 18, 2017"
48,Urban Renewal,"August 1, 2017"
49,Fireworks,"August 15, 2017"
50,Anthropomorphism,"August 22, 2017"
51,2D Characters: Origins and Evolution,"August 29, 2017"
52,Children and Sports,"September 5, 2017"
53,Amusement Parks,"September 12, 2017"
54,Japanophiles: Tyler Lynch,"September 26, 2017"
55,Particle Physics Research,"October 3, 2017"
56,Shrine Duties,"October 17, 2017"
57,Special Rescue Teams,"October 24, 2017"
58,The Wonders of Air Travel,"October 31, 2017"
59,Japanophiles: Fernando Lopez,"November 21, 2017"
60,Changing Perceptions of Cars,"November 28, 2017"
61,"The Way of Tea: Wellspring of Omotenashi, Part 1","December 12, 2017"
62,"The Way of Tea: Wellspring of Omotenashi, Part 2","December 19, 2017"
63,Ocean Fishing,"January 9, 2018"
64,The Police,"January 16, 2018"
65,Japanophiles: Stephanie Tomiyasu,"January 23, 2018"
66,New Trends in Logistics,"February 6, 2018"
67,Game Arcades,"February 13, 2018"
68,Snow Removal,"February 20, 2018"
69,Shopping Streets,"March 6, 2018"
70,Japanophiles: Bjorn Heiberg,"March 13, 2018"
71,Regional Transport Crisis,"March 20, 2018"
72,Miniature Culture,"March 27, 2018"
73,Marriage,"April 3, 2018"
74,100 Yen Shops,"April 10, 2018"
75,Deep-fried Food,"April 17, 2018"
76,Lighthouses,"May 1, 2018"
77,Japanophiles: David E. Wells,"May 22, 2018"
78,Industrial Heritage,"June 5, 2018"
79,Graves,"June 19, 2018"
80,Rice Cultivation,"June 26, 2018"
81,The Ogasawara Islands: A Multicultural Heritage,"July 3, 2018"
82,The Ogasawara Islands: A Turbulent History,"July 10, 2018"
83,Japanophiles: Bruce Gutlove,"July 17, 2018"
84,Roadside Stations,"July 31, 2018"
85,Summer Resorts,"August 7, 2018"
86,Yurei: Japanese Ghosts,"August 21, 2018"
87,Radio Calisthenics,"September 4, 2018"
88,Underground Shopping Streets,"September 11, 2018"
89,Japanophiles: Jagmohan S. Chandrani,"September 25, 2018"
90,A Sense of the Divine,"October 2, 2018"
91,Earthquake-resistant Architecture,"October 9, 2018"
92,School Sports Days,"October 16, 2018"
93,School Satchels,"October 30, 2018"
94,Aquariums,"November 6, 2018"
95,Onigiri: Rice Balls,"November 13, 2018"
96,Japanophiles: David Stanley Hewett,"November 20, 2018"
97,Coffee,"November 27, 2018"
98,Meiji-era Advisors,"December 11, 2018"
99,School Uniforms,"December 18, 2018"
100,Soba Restaurants,"December 25, 2018"
101,Roof Tilers,"January 8, 2019"
102,Japanophiles: Thomas Bertrand,"January 29, 2019"
103,Hidden Christians: Part 1,"February 19, 2019"
104,Hidden Christians: Part 2,"February 26, 2019"
105,Wood: Culture,"March 5, 2019"
106,Wood: Carpentry,"March 12, 2019"
107,Japanophiles: Oussouby Sacko,"March 19, 2019"
108,Meat,"March 26, 2019"
