Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
Shandon Anderson,4,0,21.0,0.316,0.25,0.667,1.8,0.5,1.0,0.0,4.3
Antoine Carr,6,0,9.8,0.409,0.0,0.0,1.7,0.8,0.0,0.0,3.0
Howard Eisley,6,0,10.5,0.5,0.5,0.9,0.7,2.5,0.2,0.0,5.3
Greg Foster,6,0,16.0,0.476,0.333,0.923,3.5,0.7,0.3,0.3,5.5
Jeff Hornacek,6,6,34.3,0.379,0.375,0.846,3.5,2.2,0.7,0.0,12.0
Adam Keefe,4,0,7.5,0.333,0.0,0.5,1.8,0.3,0.3,0.3,0.8
Karl Malone,6,6,40.8,0.443,0.0,0.603,10.3,3.5,1.7,0.3,23.8
Chris Morris,6,0,11.5,0.471,0.5,0.0,1.7,0.2,0.3,0.5,3.5
Greg Ostertag,6,6,21.8,0.4,0.0,0.5,7.3,0.3,0.5,1.5,4.3
Bryon Russell,6,6,38.7,0.39,0.441,0.875,5.8,0.7,0.8,0.2,11.3
John Stockton,6,6,37.5,0.5,0.4,0.846,4.0,8.8,2.0,0.5,15.0
