Road,From,To
B3200,"B3199  Babbacombe Road, Torquay","A379 Union Street, Torquay"
B3201,"A3022 Torquay Road, Paignton","A379 Dartmouth Road, Paignton"
B3202,A379 in Paignton,B3201 on the Paignton sea front
B3202,"B3199 Babbacombe Road, Torquay","A379 Lymington Road, Torquay"
B3203,"A385 at Collaton St Mary, west of Paignton",A3022 south of the end of the A380 at Paignton
B3204,A381 at Salcombe,"Tourist Information Centre, Salcombe"
B3205,"A379 at Hillhead, Brixham",A379 at Stoke Fleming
B3206,"A323 at Greyhound Roundabout, Ash","B3411 Vale Road, Ash"
B3206,"A382 at Easton, Dartmoor",Chagford
B3207,A379 at Modbury,A381 / A3122 at Halwell
B3208,"A323 Ash Road, Aldershot",A31 near Farnham
B3209,A379 west of Churchstow,B3197 southwest of West Alvington
B3209,,
B3210,A379 near Flete,A381 near Totnes
B3211,"B3210 at Ermington, Devon",A38 at Ivybridge
B3212,B3181 at Whipton,A386 at Yelverton
B3213,A38 / A3121 at Wrangaton,A38 at Ivybridge
B3214,A374 east of Laira,B3238 / B3250 in Mutley
B3215,A3072 southwest of North Tawton,B3260 at Okehampton
B3216,A386 south of Hatherleigh,"A3072 at Jacobstowe, north of Okehampton"
B3217,unclassified road in Dolton,B3227 in Atherington
B3218,A3072 at Dunsland Cross,A30  near Okehampton
B3219,A386 near Folly Gate,A30 in Sourton Down
B3219,B3320 near Winkleigh,"A30  at Whiddon Down, near Okehampton"
B3220,"A377 at Down St Mary, near Crediton",A3124 at Winkleigh
B3221,A373 in Tiverton,A361 in South Molton
B3222,"A396 east of Jury, near Dulverton",A396 south of Exebridge
B3223,"A39 at Hillsford, near Lynton",B3222 at Dulverton
B3224,A358 at East Combe,"B3223 west of Exford, Somerset"
B3225,A39 at Porlock,Porlock Weir
B3226,A361 / A399 north of South Molton,A377 at King's Nympton railway station
B3227,"A388 at Stibb Cross, near Torrington","A358 at Staplegrove, near Taunton"
B3228,"A31/A325 at Moor Park, Farnham","A31/A325 at Cox Bridge, Farnham"
B3229,A39 in Kentisbury Ford,A399 in Easter Close Cross
B3230,"A39 at West Pilton, Barnstaple",A361 at Ilfracombe
B3231,A361 at Braunton,Croyde
B3232,"B3233 east of Bickington, Barnstaple",B3227 at Torrington
B3233,A39 at Barnstaple,Interchange with A386 and A39 east of Bideford
B3234,"A39 at Barbrook, Lynton","A39 at Lynmouth Hill, Lynton"
B3235,"B3234  north of the Long Bridge, Bideford","A39 at The Quay, Bideford"
B3236,A386 at Northam,"A39 Bideford Bypass, Northam"
