Year,Title,Role
1998,Babe: Pig in the City,Tough Pup
2005,Pickled,Younger brother
2005,Chicken Little,Male Dog
2007,"Magnus, Inc.",Jacob
2007,Bag,Albert
2007,NimBlingDit,Alan
2011,"Snowflake, the White Gorilla",Elvis
2014,Into the Storm,Trey
2016,Tell Me How I Die,Den
2017,Alexander IRL,EJ
2017,Breaking Brooklyn,Albee Davis
2017,8 Bodies,Cop
