Pos,Grid,No.,Driver,Team,Manufacturer,Laps,Points
1,29,11,Denny Hamlin,Joe Gibbs Racing,Toyota,267,47
2,14,19,Carl Edwards,Joe Gibbs Racing,Toyota,267,43
3,9,41,Kurt Busch,Stewart-Haas Racing,Chevrolet,267,42
4,6,31,Ryan Newman,Richard Childress Racing,Chevrolet,267,40
5,12,20,Matt Kenseth,Joe Gibbs Racing,Toyota,267,40
6,2,22,Joey Logano,Team Penske,Ford,267,39
7,18,42,Kyle Larson,Chip Ganassi Racing,Chevrolet,267,38
8,3,2,Brad Keselowski,Team Penske,Ford,267,36
9,7,18,Kyle Busch,Joe Gibbs Racing,Toyota,267,37
10,20,43,Aric Almirola,Richard Petty Motorsports,Ford,267,34
11,11,48,Jimmie Johnson,Hendrick Motorsports,Chevrolet,267,33
12,19,88,Dale Earnhardt Jr.,Hendrick Motorsports,Chevrolet,267,32
13,4,78,Martin Truex Jr.,Furniture Row Racing,Chevrolet,267,32
14,10,24,Jeff Gordon,Hendrick Motorsports,Chevrolet,267,31
15,28,55,David Ragan,Michael Waltrip Racing,Toyota,267,29
16,13,1,Jamie McMurray,Chip Ganassi Racing,Chevrolet,266,28
17,16,27,Paul Menard,Richard Childress Racing,Chevrolet,266,27
18,27,17,Ricky Stenhouse Jr.,Roush Fenway Racing,Ford,265,26
19,26,15,Clint Bowyer,Michael Waltrip Racing,Toyota,265,0
20,24,13,Casey Mears,Germain Racing,Chevrolet,265,24
21,17,16,Greg Biffle,Roush Fenway Racing,Ford,265,23
22,21,33,Brian Scott,Hillman-Circle Sport LLC,Chevrolet,265,0
23,31,51,Justin Allgaier,HScott Motorsports,Chevrolet,265,21
24,8,5,Kasey Kahne,Hendrick Motorsports,Chevrolet,264,20
25,23,14,Tony Stewart,Stewart-Haas Racing,Chevrolet,264,19
26,25,10,Danica Patrick,Stewart-Haas Racing,Chevrolet,264,18
27,36,40,Landon Cassill,Hillman-Circle Sport LLC,Chevrolet,263,0
28,30,6,Trevor Bayne,Roush Fenway Racing,Ford,263,16
29,33,35,Cole Whitt,Front Row Motorsports,Ford,263,15
30,22,9,Sam Hornish Jr.,Richard Petty Motorsports,Ford,262,14
31,38,34,Brett Moffitt,Front Row Motorsports,Ford,262,13
32,35,38,David Gilliland,Front Row Motorsports,Ford,262,12
33,40,32,Josh Wise,Go FAS Racing,Ford,261,11
34,37,46,Michael Annett,HScott Motorsports,Chevrolet,261,10
35,34,26,J. J. Yeley,BK Racing,Toyota,261,0
36,15,47,A. J. Allmendinger,JTG Daugherty Racing,Chevrolet,260,8
37,32,7,Alex Bowman,Tommy Baldwin Racing,Chevrolet,259,7
38,41,23,Jeb Burton,BK Racing,Toyota,259,6
39,39,83,Matt DiBenedetto,BK Racing,Toyota,258,5
40,42,98,Reed Sorenson,Premium Motorsports,Ford,258,4
41,43,62,Timmy Hill,Premium Motorsports,Chevrolet,255,0
42,1,4,Kevin Harvick,Stewart-Haas Racing,Chevrolet,209,3
43,5,3,Austin Dillon,Richard Childress Racing,Chevrolet,198,1
