Year,Title,Role
1957,The Enemy Below,Lt. Ware
1958,The Fly,Andre Delambre
1958,The Son of Robin Hood,Jamie
1958,"Rally Round the Flag, Boys!",Narrator
1960,The Lost World,Ed Malone
1961,"Marines, Let's Go",Pfc. Dave Chatfield
1965,The Greatest Story Ever Told,Philip
1970,Kemek,Nick
1973,Live and Let Die,Felix Leiter
1980,North Sea Hijack,Robert King
1984,The Naked Face,Dr. Peter Hadley
1986,Smart Alec,Frank Wheeler
1989,Licence to Kill,Felix Leiter
1990,Undeclared War,US Ambassador
1999,Fugitive Mind,Senator Davis
2001,Mach 2,Stuart Davis
2001,Megiddo: The Omega Code 2,Daniel Alexander
2004,Spectres,William
2005,The Reality Trap,Morgan Jameson
2013,Superman and the Secret Planet,Jor-El
2017,Confessions of a Teenage Jesus Jerk,Interviewee #2
