Year,Title,Role
2000,Almost Famous,Dennis Hope
2002,The Rutles 2: Can't Buy Me Lunch,Reporter
2003,Anything Else,Bob
2003,The Scheme,Ray
2004,Taxi,Det. Andrew Andy Washburn
2005,Fever Pitch,Ben Wrightman
2006,Doogal,Dylan
2006,Arthur and the Invisibles,Prince Betameche
2006,Factory Girl,Chuck Wein
2008,The Year of Getting to Know Us,Christopher Rocket
2009,Whip It,Johnny Rocket
2009,Arthur and the Revenge of Maltazard,Prince Betameche
2010,Arthur 3: The War of the Two Worlds,Prince Betameche
2011,Bucky Larson: Born to Be a Star,Himself
2015,Get Hard,Himself
2015,Ted 2,Himself
2015,Jurassic World,Himself
2015,Jem and the Holograms,Himself
2015,Misery Loves Comedy,Himself
2016,Popstar: Never Stop Never Stopping,Himself
2019,Dads,Himself
2020,"Siempre, Luis",Himself
2020,The Stand In,Himself
2022,Marry Me,Himself
2022,Spirited,Himself
