LGA,Ward,Polling Unit Name
Bade,Dagona,"Dagona Pri Shc; Dagona Viewing Centre C.; Dala Primary School; Murza Bulama Gate; Garin Manda,Pri. Sch Missilli; Mainiya Bulama Gate; Bizi Pri School; Garin Manda"
Bade,Gwio-Kura,"Gwio - Kura Pri School; Gwio Bulama's Gate; Gwio Dina ,Pri. Sch.; Ngelbowa Pri. School; Ngeljabe ,Pri. Sch I; Chirawa Bulama Gate; Mainari Pri. School"
Bade,Katuzu,"Katuzu, Pri. Sch.; Katuzu ,View Centre; Unguwar M. Sale, K. M. Sale; Unguwar M. Sale, K. M. Sale II; State Agric., State Agric. Office I; State Agric., State Agric. Office II"
Bade,Lawan Audu/Lawan Al - Wali,College Of Education; Ramat Pri. School; Goni Aji; Lawan Audu; Asibitin Agana I; Asibitin Agana II; Former Nepa; Garin Lamido; Hospital Gate; Benin Bayero
Bade,Lawan Fannami,"Ari Kulola, Ari Kulola Gate; Filin Tanda Open Space; Babuje Pri School; Ya'U Gara Kofar Ya'U; Tsangaya I Open Space; Tsangaya II Open Space; Gdss Gashu'A; Hassan Mai Ung."
Bade,Lawan Musa,Emirs Palace I; Emirs Palace II; Ma'Aji D/Bappa; Umar Sulieman I; Umar Sulieman II; Dugum Jambo I; Dugum Jambo II
Bade,Sarkin Hausawa,Talbari Viewing Centre; Talbari L. E. A.; Kalegha; Alh. Sidi Ali; Islamiyya; Anes B.
Bade,Tagali/Sugum,Sugum 1 B. Gate; Sugum II Pri Sch; Gapiwa; Kabayo; Tagama Open Space; Tagali Pri Sch; Madamuwa Bulama Gate; Gabarwa Open Space; Tak Vir - Vir
Bade,Usur/Dawayo,"Usur Pri. School; Azbak, Pri. Sch. I; Azbak Pri. Sch. II Bulama Gate; Alagarno; Bida/Tumpapi Jumami; Paga; Azam Kura B. Gate I; Azam Kura B. Gate II; Dawayo; Jigawa"
Bade,Zangon Musa/Zango Umaru,Sarkin Z. Umaru ; Kofar Dogo Ado; Sarkin Zango Musa; Zango Viewing Centre; Shehu Mai Gura; Nomau Na Inna; Mamman Dabi; Zango Islamiyya; Kofar Baba Nashehu
Bursari,Bayamari,"Aburi Dandali Mai Gari; Aji Dawari Kofar Mai Gari; Batar, Pri. Sch.; Bayamari, Dispensary; Bayamari, Dandali Lawanti; Bayamari, Motor Park; Damaya, Dandali Maigari; Gajeri, Dandali Maigari; Galtimari, Dandali Maigari"
Bursari,Damnawa/Juluri,Damnawa Kofar Mai Gari; Gamsawa I. Kofar Mai Gari; Gamsawa II. Pri School; Juluri I. Pri School; Juluri II. Pri School
Bursari,Danani,"Danani, Dandali Kofar Maigari; Garin Fulatari Dandali M/Gari; Lawanti, Dandali Maigari; M. Bulatari,Dandali Maigari; Maji Kawari Pri School; Mastafari, Dandali Maigari; Turban Gida, Pri. Sch.; Ummarari Matti, Pri. Sch.; Ummarari Matti, Dan Dalin Mai Gari"
Bursari,Dapchi,"Ajari, Court Room; Ajari, Pri. Sch.; Bade Gana, Pri. Sch.; Bulangu, Dandali Kofar Maigari; Bulangu, Dandali Kofar Makeri; Jaba Kura,Dandali Kpofar Maigari; Motor Park, Old Motor Park; Motor Park, Kofar M. Uba; Ngeljabi, Dandali Lamido; Sarkin Pawa, Kofar S. Pawa; Teleko Lamido, Pri. Sch.; Viewing Centre, Viewing Centre"
Bursari,Garun Dole / Garin Alkali,"Dogon Marke, Dandali Kofar; Garin Alkali Pri School; Garun Dole, Pri. Sch.; Girim, Pri. Sch.; Ilaila ,Pri. Sch.; Jawa, Pri. Sch.; Koromari,Pri. Sch.; Mashayar Gawo Dandali; Rinukunu; Tarbutu, Pri. Sch. I; Tarbutu, Pri. Sch. II"
Bursari,Guba,"Dapso, Pri. Sch.; Gilbasu, Pri. Sch.; Guba, Pri. Sch.; G. Kabaju,Dandali Maigari; Kankare, Pri. Sch.; Marare, Pri. Sch.; Monguno, Dandali Maigari; Sunowa,Dandali Maigari"
Bursari,Guji / Metalari,"Ajiri, Pri. Sch.; Ajiri, Goni Muktar; Ali Ganari, Dandali Maigari; Bururu, Pri. Sch.; Dajimi, Kofar Maigari; Karasuwa, Dandali Maigari; Kuchi-Kuchiri, Dandali Maigari; Lawangirari, Dandali Maigari; Makintari, Pri. Sch."
Bursari,Kaliyari,"Baya Bade, Pri. Sch.; Bursari, Dandali Maigari; Diga, Pri. Sch.; Gamsawa, Pri. Sch.; Kaga Dama, Pri. Sch.; Kakanderi, Pri. Sch.; Kali Yari, Pri. Sch.; Mal Wuriya, Pri. Sch; Tunga, Dandali Maigari; Warodi, Pri. Sch. I; Warodi, Pri. Sch. II"
Bursari,Masaba,"Dadigar, Pri. Sch.; Dadigar, Hausari II; Daskum, Pri. Sch.; Dumburi, Pri. Sch.; Dumburi, Dispensary; Gadine, Pri. Sch.; Gangawa, Pri. Sch.; Girwan Pri School; Masaba, Pri. Sch.; Masaba, Dispensary; Masaba, Sarikin Pawa"
Damaturu,Bindigari/Pawari,"Alhajiri, Alhajiri Open Space; Ali Marami, Pri. Sch.; Bindigari Primary School; Pawari Open Space; Forestry/Forestry Office; Hayas Cinema, Hayas Cinema II; Hayas Cinema, Hayas Cinema I; L. E. A Office / L. E. A Office; Rumfan Idrisa, Rumfan Idris; State Ministryof Works"
Damaturu,Damakasu,"Alhaji Amodori /Alh. Modori; Damakasu Dispensary /Damakasu Dispensary; Damakasu, Pri. Sch.; Falari B. Fandi,Fandi's Gate; Kimeri/Kimeri"
Damaturu,Damaturu Central,"Abasha, Kofar Bulama; Usman Koriyel Gate; Alhaji Male Gate; Central, Pri. Sch. Central Pri. Sch.; Mairi,Mairi Dispensary; Mairi, Area Court Office; Mallam Mattari, M. Mattari; Manu Tela, Manutela; Manu Tela, Babban Tsangaya; Motor Park, Motor Park ; Gujba Goni Muktar Pri Sch; Village Head M. Goni; Water Board Gate; R. E. B. Gate."
Damaturu,Gambir/Maduri,"Gambir, Gambir Pri. Sch.; Kafitilowa,Kafitilowa; Maduri, Maduri; Mustiri,Mustiri; Usmanti,Usmanti"
Damaturu,Kalallawa/Gabai,"Dusuwa Kangol,Dusuwa Kangol; Gabai Primary School; Kalallawa,Kalallawa Pri. Sch.; Kalallawa,Kalallawa Dispensary; Mandinari, Mandinari Bulama's Gate; Tumbel Tumbel Open Space; Mangari,Mangari Open Space"
Damaturu,Kukareta/Warsala,"Dabugu,Dabugu Open Space; Kukareta, Dispensary; Kukareta,Pri. Sch.; Ladan Musari, Ladan Musari's Gate; Goni Usman Gate; Tumur M. Tubo,Tumur M. Tubo; Warsala,Warsala Pri. Sch."
Damaturu,Maisandari/Waziri Ibrahim Estate,"Federal Polytechnic, Fed-Poly Dispensary; Fuguri,Fuguri Pri. Sch.; Ben . Kalio Housing,Kalio Bus Stop; Maisandari, Maisandari Pri. Sch.; Ngaborowa Pri School; Waziri Ibrahim Est, At Estate Pri. Sch."
Damaturu,Murfa Kalam,"Dikumari Pri School; Dumbulwa Open Space; Dungurum D. Open Space; Kasaisa K. Open Space; Murfa, Murfa Kalam Pri. Sch.; S. Gari Murfa Tsangaya K. Bulama"
