Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
Chris Ford,6,6,30.7,0.5,0.222,0.778,2.7,2.3,0.7,0.0,10.5
Cedric Maxwell,6,6,37.8,0.568,0.0,0.759,9.5,2.8,0.2,1.0,17.7
Larry Bird,6,6,42.8,0.419,0.333,0.813,15.3,7.0,2.3,0.5,15.3
Kevin McHale,6,0,13.8,0.387,0.0,0.571,3.3,0.8,0.0,0.7,4.7
Tiny Archibald,6,6,33.8,0.364,0.0,0.875,1.2,5.5,0.7,0.0,10.3
Rick Robey,6,0,16.3,0.559,0.0,0.563,3.7,0.3,0.0,0.2,7.8
Gerald Henderson,6,0,15.8,0.559,0.0,0.833,1.7,1.7,0.7,0.3,7.2
Robert Parish,6,6,27.8,0.506,0.0,0.632,7.7,1.0,1.2,2.0,15.0
M.L. Carr,6,0,18.3,0.459,0.0,0.75,1.7,1.0,0.7,0.7,4.7
Terry Duerod,4,0,1.5,0.429,0.0,0.0,0.0,0.0,0.3,0.0,1.5
Eric Fernsten,4,0,2.5,0.0,0.0,0.667,1.0,0.3,0.3,0.0,0.5
