Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
Mark Aguirre,4,4,26.8,0.364,0.0,0.75,6.0,1.5,0.5,0.0,7.5
Fennis Dembo,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Dumars,4,4,36.8,0.576,0.0,0.868,1.8,6.0,0.5,0.3,27.3
James Edwards,4,0,24.3,0.444,0.0,0.75,3.5,0.8,0.0,0.8,9.0
Vinnie Johnson,4,0,23.8,0.6,0.2,0.636,3.3,2.8,0.0,0.3,17.0
Bill Laimbeer,4,4,23.5,0.545,0.667,0.857,5.3,2.3,0.5,0.0,8.0
John Long,1,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Rick Mahorn,4,4,24.5,0.556,0.0,0.667,5.3,1.0,0.3,0.8,6.0
Dennis Rodman,4,0,23.5,0.467,0.0,0.857,10.0,1.3,0.5,0.3,5.0
John Salley,4,0,20.3,0.684,0.0,0.571,2.5,1.3,0.3,2.8,7.5
Isiah Thomas,4,4,35.3,0.485,0.333,0.76,2.5,7.3,1.5,0.3,21.3
Micheal Williams,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
