Year,Title,Role
1979,Manhattan,Man on Street
1981,Tales of Ordinary Madness,Bar Patron
1982,Sophie's Choice,Reporter
1982,The Verdict,Courtroom Observer
1982,Tootsie,Waiter
1983,Svengali,Waiter
1985,Turk 182,Sergeant on Bridge
1988,Mississippi Burning,FBI Agent Stokes
1989,An Innocent Man,Zeke
1990,False Identity,Marshall Errickson
1990,Loose Cannons,Gerber
1990,Goodfellas,Parole Officer
1992,Ruby,David Ferrie
1993,Boiling Point,Freddie Roth
1993,The Firm,The Nordic Man
1993,In the Line of Fire,Marty Mendoza
1993,Malice,Earl Leemus
1995,Serial Killer,William Lucian Morrano
1995,The Quick and the Dead,Leonard 'Dog' Kelly
1996,Cheyenne,Marshal Toynbee
1998,Brown's Requiem,Stan 'Stan The Man'
1998,Overnight Delivery,John Dwayne Beezly
1998,Best of the Best 4: Without Warning,Lukasz Slava
1999,The 4th Floor,The Locksmith
2000,The Road to El Dorado,Zaragoza
2001,Good Neighbor,Geoffrey Martin
2002,Power Play,Clemens
2002,Black Mask 2: City of Masks,Moloch
2004,Saw,John Kramer / Jigsaw
2005,Saw II,John Kramer / Jigsaw
2006,Saw III,John Kramer / Jigsaw
2007,Buried Alive,Lester
2007,Decoys 2: Alien Seduction,Professor Erwin Buckton
2007,The Haunting Hour: Don't Think About It,The Stranger
2007,Boogeyman 2,Dr. Mitchell Allen
2007,Saw IV,John Kramer / Jigsaw
2008,Boogeyman 3,Dr. Mitchell Allen
2008,Saw V,John Kramer / Jigsaw
2009,Saw VI,John Kramer / Jigsaw
2010,Saw 3D,John Kramer / Jigsaw
2014,Dark House,Seth
2014,Finders Keepers,Dr. Freeman
2015,Phantom Halo,'Smashmouth'
2015,Manson Family Vacation,'Blackbird'
2016,Rainbow Time,Peter
2017,Jigsaw,John Kramer / Jigsaw
2017,61: Highway to Hell,The Devil
2017,12 Feet Deep,McGradey
2017,The Sandman,Valentine
2017,Belzebuth,Vasilio Canetti
2019,The Way We Weren't,Jerry
2019,Ice Cream in the Cupboard,Pop
2019,Gates of Darkness,Monsignor Canell
2020,The Call,Edward Cranston
2020,A Father's Legacy,Billy Ford
2021,Let Us In,Mr. Munch
2021,Aileen Wuornos: American Boogeywoman,Lewis Fell
2022,Sleep No More,'Smashmouth'
2023,ReBroken,Von
2023,The Curse of Wolf Mountain,Dr. Avery
2023,The Cello,Vincent
2023,Saw X,John Kramer / Jigsaw
2023,The Curse of the Clown Motel,Mr. Wilson
2023,Altered Reality,Cooper Mason
2024,The Bunker,Mr. Riley
