Year,Race,Date,Circuit,Winner,Team,Car
2022.0,26.0,21 August,Sandown Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2022.0,27.0,10 September,Pukekohe Park Raceway,Will Davison,Dick Johnson Racing,Ford Mustang GT
2022.0,28.0,11 September,Pukekohe Park Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2022.0,29.0,11 September,Pukekohe Park Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2022.0,30.0,09 October,Mount Panorama Circuit,Shane Van Gisbergen Garth Tander,Triple Eight Race Engineering,Holden ZB Commodore
2022.0,31.0,29 October,Surfers Paradise Street Circuit,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2022.0,32.0,30 October,Surfers Paradise Street Circuit,Shane van Gisbergen,Triple Eight Race Engineering,Holden ZB Commodore
2022.0,33.0,03 December,Adelaide Street Circuit,Chaz Mostert,Walkinshaw Andretti United,Holden ZB Commodore
2022.0,34.0,04 December,Adelaide Street Circuit,Broc Feeney,Triple Eight Race Engineering,Holden ZB Commodore
2023.0,1.0,11 March,Newcastle Street Circuit,Cameron Waters,Tickford Racing,Ford Mustang GT
2023.0,2.0,12 March,Newcastle Street Circuit,Shane van Gisbergen,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,3.0,30 March,Albert Park Circuit,Shane Van Gisbergen,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,4.0,31 March,Albert Park Circuit,Brodie Kostecki,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,5.0,01 April,Albert Park Circuit,Brodie Kostecki,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,6.0,02 April,Albert Park Circuit,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,7.0,29 April,Wanneroo Raceway,Shane Van Gisbergen,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,8.0,30 April,Wanneroo Raceway,Will Brown,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,9.0,30 April,Wanneroo Raceway,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,10.0,20 May,Symmons Plains Raceway,Will Brown,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,11.0,21 May,Symmons Plains Raceway,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,12.0,21 May,Symmons Plains Raceway,Will Brown,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,13.0,17 June,Hidden Valley Raceway,Mark Winterbottom,Team 18,Chevrolet Camaro ZL1-1LE
2023.0,14.0,18 June,Hidden Valley Raceway,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,15.0,18 June,Hidden Valley Raceway,Jack Le Brocq,Matt Stone Racing,Chevrolet Camaro ZL1-1LE
2023.0,16.0,08 July,Reid Park Street Circuit,Will Brown,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,17.0,09 July,Reid Park Street Circuit,Anton de Pasquale,Dick Johnson Racing,Ford Mustang GT
2023.0,18.0,29 July,Sydney Motorsport Park,Brodie Kostecki,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,19.0,30 July,Sydney Motorsport Park,Shane Van Gisbergen,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,20.0,19 August,The Bend Motorsport Park,Brodie Kostecki,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,21.0,20 August,The Bend Motorsport Park,Brodie Kostecki,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,22.0,20 August,The Bend Motorsport Park,Brodie Kostecki,Erebus Motorsport,Chevrolet Camaro ZL1-1LE
2023.0,23.0,17 September,Sandown Raceway,Broc Feeney Jamie Whincup,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,24.0,08 October,Mount Panorama Circuit,Shane Van Gisbergen Richie Stanaway,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2023.0,25.0,28 October,Surfers Paradise Street Circuit,Cameron Waters,Tickford Racing,Ford Mustang GT
2023.0,26.0,29 October,Surfers Paradise Street Circuit,David Reynolds,Grove Racing,Ford Mustang GT
2023.0,27.0,25 November,Adelaide Street Circuit,Cameron Waters,Tickford Racing,Ford Mustang GT
2023.0,28.0,26 November,Adelaide Street Circuit,Matthew Payne,Grove Racing,Ford Mustang GT
2024.0,1.0,24 February,Mount Panorama Circuit,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,2.0,25 February,Mount Panorama Circuit,Will Brown,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,3.0,21 March,Albert Park Circuit,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,4.0,22 March,Albert Park Circuit,Will Brown,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,5.0,23 March,Albert Park Circuit,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,6.0,24 March,Albert Park Circuit,Nick Percat,Matt Stone Racing,Chevrolet Camaro ZL1-1LE
2024.0,7.0,20 April,Taupo International Motorsport Park,Andre Heimgartner,Brad Jones Racing,Chevrolet Camaro ZL1-1LE
2024.0,8.0,21 April,Taupo International Motorsport Park,Will Brown,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,9.0,18 May,Wanneroo Raceway,Chaz Mostert,Walkinshaw Andretti United,Ford Mustang GT
2024.0,10.0,19 May,Wanneroo Raceway,Cameron Waters,Tickford Racing,Ford Mustang GT
2024.0,11.0,15 June,Hidden Valley Raceway,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,12.0,16 June,Hidden Valley Raceway,Broc Feeney,Triple Eight Race Engineering,Chevrolet Camaro ZL1-1LE
2024.0,13.0,06 July,Reid Park Street Circuit,Cameron Waters,Tickford Racing,Ford Mustang GT
2024.0,14.0,07 July,Reid Park Street Circuit,Matthew Payne,Grove Racing,Ford Mustang GT
2024.0,15.0,20 July,Sydney Motorsport Park,Chaz Mostert,Walkinshaw Andretti United,Ford Mustang GT
2024.0,16.0,21 July,Sydney Motorsport Park,Chaz Mostert,Walkinshaw Andretti United,Ford Mustang GT
2024.0,17.0,17 August,Symmons Plains Raceway,Nick Percat,Matt Stone Racing,Chevrolet Camaro ZL1-1LE
2024.0,18.0,18 August,Symmons Plains Raceway,Cameron Waters,Tickford Racing,Ford Mustang GT
2024.0,19.0,15 September,Sandown Raceway,Will brown/Scott pye,Triple eight racing engineering  Chevrolet Camaro,
2024.0,20.0,13 October,Mount Panorama Circuit,Brodie kosticki/Todd hazlewood,Erebus racing,Chevrolet Camaro
2024.0,21.0,26 October,Surfers Paradise Street Circuit,,,
2024.0,22.0,27 October,Surfers Paradise Street Circuit,,,
2024.0,23.0,16 November,Adelaide Street Circuit,,,
2024.0,24.0,17 November,Adelaide Street Circuit,,,
