Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
Ian Clark,4,0,11.1,0.438,0.273,1.0,1.0,0.8,0.3,0.0,4.8
Stephen Curry,5,5,37.7,0.44,0.388,0.897,8.0,9.4,2.2,0.0,26.8
Kevin Durant,5,5,39.7,0.556,0.474,0.927,8.4,5.4,1.0,1.6,35.2
Draymond Green,5,5,35.4,0.345,0.28,0.667,10.2,4.8,1.6,0.6,11.0
Andre Iguodala,5,0,28.2,0.529,0.333,0.333,3.2,3.4,1.2,1.0,8.6
Shaun Livingston,5,0,15.0,0.536,0.0,1.0,1.0,1.2,0.2,0.0,6.6
James Michael McAdoo,4,0,2.8,0.667,0.0,0.0,0.5,0.0,0.3,0.0,1.0
Patrick McCaw,5,0,6.8,0.273,0.2,1.0,2.0,0.4,0.2,0.0,2.2
JaVale McGee,4,0,5.6,0.667,0.0,0.75,2.5,0.8,0.0,0.5,2.8
Zaza Pachulia,5,5,13.2,0.538,0.0,0.4,2.8,0.4,0.4,0.0,3.2
Klay Thompson,5,5,36.5,0.429,0.425,0.714,4.8,2.2,0.4,0.2,16.4
David West,5,0,10.0,0.588,0.0,0.5,2.0,0.6,0.0,0.6,4.2
Matt Barnes,5,0,1.8,0.333,0.5,0.0,0.2,0.4,0.0,0.0,0.6
