LGA,Ward,Polling Unit Name
Askira / Uba,Zadawa / Hausari,Mai Zage I; Mai Zage II; Viewing Centre I; Viewing Centre II; Kofar Yanga I; Kofar Yanga II; Halidu Kadir; Adamu Ganga I; Adamu Ganga II; Bello Danyan Kasko I; Bello Danyan Kasko II; Leho Pri. Sch. I; Leho Pri. Sch. II; Leho Pri. Sch. III; Bulama Umoru Kallau
Bama,Andara / Ajiri /Wulba,"Andara I; Andara II; Tangalanga; Kodo Daudabe; Madawaya; Tarmua Gana; Wulba Kura; Kodo Mukdo Kura; Ndabaza Kura; Bem, Bem; Kesh, Kesh; Magaribu; Barkari; Ajiri; Gala Gana"
Bama,Buduwa / Bula Chirabe,Banki Malari; Banki Kura; Banki Dispensary I; Banki Dispensary II; Banki Bula Bulin I; Banki Bula Bulin II; Tara Dagal I; Tara Dagal II; Yakuwami; Banki Goniri; Tarmua Kura I; Tarmua Kura II; Alhaji Yusuf; Alhaji Bukar; Banki Pri. Sch.; Abba Ashemi I; Abba Ashemi II; Yakwami; Nariku; Buduwa . B Mallam; Gala B. Kilado; Amchide B. Nana I; Amchide B. Jongoma; Amchide B. Nana II; Amchide B. Bukar; Wajere B. Umar I; Wajare B. Umar II
Bama,Dipchari / Jere / Dar-Jamal / Kotembe,Kotembe Pri. Sch. I; Kotembe Pri. Sch. II; Ngubdori B. G; Dipchari Pri. Sch. I; Dipchari Pri. Sch. II; B. Bukar Yaye; Leno B. Hassan I; Leno B. Hassan II; Jere Pri. Sch. I; Jere Pri. Sch. II; Dar Jamal Pri. Sch. I; Dar Jamal Pri. Sch. II; Gaide B. Ali; Bula - Bulin; Chongolo B. Tijani; Kircha B. Gujja; Wudila B. Sheriff
Bama,Gulumba / Jukkuri / Batra,Bulama Kachalla I; Bulama Kachalla II Bukar; Bulama Alimami; Durbe Ngubdori; Bula Bulin; Rafa Algoni; Mungule; Gulumba Pri. Sch.; Yemut; Kachallari; Dukje B. Modu; Badimari; Walasa Kusuluwa; Nguzoa; Bonzong; Kashimri Tandari I; Kashimri Tandari II; Awaram; Mbaga Eli; Rijia
Bama,Kasugula,Lawan Maiduguri I; Lawan Maiduguri II; Saina M. Abba I; Saina M. Abba II; Saina M. Abba III; Saina M. Abba IV; Behind K. P. School I; Behind K. P. School II; Leprosy Clinic; Bulama Bashir I; Bulama Bashir II; Aji Wankema; Bulama Umar I; Bulama Umar II; Kasugula Pri. Sch. I; Kasugula Pri. Sch. II; Kasugula Pri. Sch. III; Kasugula Pri. Sch. IV; Kasugula Pri. Sch. V; Bintu Goskoma I; Bintu Goskoma II; Peace And Charity I; Peace And Charity II; Malarima; Bulama Modu I; Bulama Modu II; Wakil Goniye; Bulama Lamba Usman; Bulama Goroye I; Bulama Goroye II; Mammy Market I; Mammy Market II; Ligaliri; Bukar Tela; Bone - Garal; F. S. P. Clinic
Bama,Kumshe /Nduguno,Kumshe B. M. Dispensary; Kumshe B. Jungudum; Kumshe B. Mallam; Janneri B. Fannabe; Nduguno - Kura; Warafaya; Zantalanye; Jadawa B. Aja; Bigoro; Mordo; Bula Umarbe; Mabaraka; District Head's Office I; District Head's Office II; District Head's Office III
Bama,Lawanti / Malam / Mastari / Abbaram,Lawanti I; Lawanti II; Abbaram; Botori; Tafanawa; Gadangari; Malam Kodomiri; Malam Mastari; Mala Ajiri; Wurwaza; Jongomari; Baram Kuma'A; Jaltawa
Bama,Marka / Malge / Amchaka,Walasa Pri. Sch.; Walasa Lawanti; Bugurmari; Gudjari; Malaum Kari Pri. Sch.; Malaum Kari Lawanti; Bazaya; Chingurmi; Bula Mangabe; Amchaka Lawanti; Amchaka Pri. Sch.; Aka Dabanga; Ngurmulji; Kilimiri; Mboroya; Digira Abba Ashe; Digira B. Tokke
Bama,Mbuliya / Goniri / Siraja,Dole I; Dole II; Siraja Kura; Kurzum; Chingori Kura; Chingori Gana; Angola; Kirisuwa; Goniri Pri. Sch. I; Goniri Pri. Sch. II; Goniri; Bararam; Goni Kurmi; Alafa Yayaye; Maska Yerimari; Mbuliya . L. Aga; Mbuliya . L. Iza; Tarmua Pri. Sch.; Mbuliya . B . Mallam
Bama,Sabsabwa / Soye/ Bulongu,Burari; M. Kagilmari I; M. Kagilmari II; Bashari; Soye Dispensary I; Soye Dispensary II; Kajeri; Zaramiri; Bocest I; Bocest II; Sabasbwa Pri. Sch.; Mai Mallumri; Uiicest; Mairamri; Makintari; Bulongu; Jaudiri Bocest I; Jaudiri Bocest II; Jaudiri Bocest III; Bulama Nasawa; Borwoshe; Bula Alibe; Bula Morebe; Bulama Mainari I; Bulama Mainari II
