M-V pin#,Name,State,Year,Boat,Event
720,Darryn Purcell,QLD,2008.0,ML8+,2008 World Rowing Championships
721,Nicholas Baker,TAS,2008.0,ML8+,2008 World Rowing Championships
722,Perry Ward,WA,2008.0,ML8+,2008 World Rowing Championships
723,David McGrath,VIC,2008.0,ML8+,2008 World Rowing Championships
724,Emily Rose,WA,2009.0,W4-,2009 World Rowing Championships
725,Elizabeth Alderman,WA,2009.0,W4-,2009 World Rowing Championships
726,Laura Osti,SA,2009.0,W4-,2009 World Rowing Championships
727,Sophia Robson,VIC,2009.0,W4-,2009 World Rowing Championships
728,Nick Hudson,NSW,2009.0,M4x,2009 World Rowing Championships
729,Jared Bidwell,QLD,2009.0,M4x,2009 World Rowing Championships
730,Tom Larkins,VIC,2009.0,M8+,2009 World Rowing Championships
731,Joshua Dunkley-Smith,VIC,2009.0,M8+,2009 World Rowing Championships
732,Mitchell Estens,NSW,2009.0,M8+,2009 World Rowing Championships
733,Thomas Swann,VIC,2009.0,M8+,2009 World Rowing Championships
734,Bryn Coudraye,SA,2009.0,M8+,2009 World Rowing Championships
735,Richard Allsop,NSW,2009.0,M8+,2009 World Rowing Championships
736,Tobias Lister,NSW,2009.0,M8+,2009 World Rowing Championships
737,Angus Tyers,VIC,2009.0,ML4-,2009 World Rowing Championships
738,Thomas Bertrand,VIC,2009.0,ML4-,2009 World Rowing Championships
739,Ben Houlison,NSW,2009.0,MAS1x,2009 World Rowing Championships
740,Alexandra Green,NSW,2009.0,Mix LTA4+,2009 World Rowing Championships
741,Carol Cooke,VIC,2009.0,Mix LTA4+,2009 World Rowing Championships
742,Peter Siri,QLD,2009.0,Mix LTA4+,2009 World Rowing Championships
743,Henry Macphillamy,NSW,2009.0,Mix LTA4+,2009 World Rowing Championships
744,Lisa Brown,VIC,2009.0,Mix LTA4+,2009 World Rowing Championships
745,Dominic Grimm,NSW,2010.0,M2+,2010 World Rowing Championships
746,David Webster,VIC,2010.0,M2+,2010 World Rowing Championships
747,Josh Booth,VIC,2010.0,M4-,2010 World Rowing Championships
748,John Linke,VIC,2010.0,M4-,2010 World Rowing Championships
749,Will Lockwood,VIC,2010.0,M8+,2010 World Rowing Championships
750,Nick Purnell,NSW,2010.0,M8+,2010 World Rowing Championships
751,Alister Foot,TAS,2010.0,ML8+,2010 World Rowing Championships
752,Grant Bailey,ACT,2010.0,MixTA2x,2010 World Rowing Championships
753,Peta White,SA,2011.0,W4-,2011 World Rowing Championships
754,Renee Chatterton,SA,2011.0,W4[,2011 World Rowing Championships
755,Alexandra Hayes,WA,2011.0,WL4x,2011 World Rowing Championships
756,Hannah Jansen,WA,2011.0,WL4x,2011 World Rowing Championships
757,Maia Simmonds,WA,2011.0,WL4x,2011 World Rowing Championships
758,Ella Flecker,TAS,2011.0,WL4x,2011 World Rowing Championships
759,Erik Horrie,QLD,2011.0,MAS1x,2011 World Rowing Championships
760,Not allocated,,,,
761,Hannah Vermeersch,WA,2012.0,W8+,2012 London Olympics
762,Tess Gerrand,NSW,2012.0,W8+,2012 London Olympics
763,Alexandra Hagan,WA,2012.0,W8+,2012 London Olympics
764,Brodie Buckland,NSW,2012.0,M2-,2012 London Olympics
765,Gavin Bellis,VIC,2012.0,MixTA2x,2012 London Olympics
766,Thea Adamson,WA,2012.0,WL4x,2012 World Rowing Championships
767,Hannah Clark,VIC,2012.0,WL4x,2012 World Rowing Championships
768,Not allocated,,,,
769,Tim McDonnell,QLD,2012.0,ML1x,2012 World Rowing Championships
770,Michael Egan,TAS,2012.0,ML8+,2012 World Rowing Championships
771,Nicholas Silcox,QLD,2012.0,ML8+,2012 World Rowing Championships
772,Adam Kachyckykj,QLD,2012.0,ML8+,2012 World Rowing Championships
773,Rebekah Hooper,VIC,2013.0,W4x,2013 World Rowing Championships
774,Jessica Hall,QLD,2013.0,W4x,2013 World Rowing Championships
775,Madeleine Edmunds,QLD,2013.0,W4x,2013 World Rowing Championships
776,Olympia Aldersey,SA,2013.0,W4x,2013 World Rowing Championships
777,Katrina Bateman,VIC,2013.0,W2-,2013 World Rowing Championships
778,Charlotte Sutherland,VIC,2013.0,W4-,2013 World Rowing Championships
779,Lucy Stephan,VIC,2013.0,W4-,2013 World Rowing Championships
780,Alexander Belonogoff,NSW,2013.0,M2x,2013 World Rowing Championships
781,Alex Lloyd,NSW,2013.0,M4-,2013 World Rowing Championships
782,Spencer Turrin,NSW,2013.0,M4-,2013 World Rowing Championships
783,Ned Kinnear,SA,2013.0,M8+,2013 World Rowing Championships
784,Cameron Brewer,WA,2013.0,M8+,2013 World Rowing Championships
785,Angus Moore,ACT,2013.0,M8+,2013 World Rowing Championships
786,Alexander Hill,SA,2013.0,M8+,2013 World Rowing Championships
787,George Ellis,VIC,2013.0,M8+,2013 World Rowing Championships
788,Scott Laidler,QLD,2013.0,M8+,2013 World Rowing Championships
789,Brendan Murray,WA,2013.0,M8+,2013 World Rowing Championships
790,Thomas Gatti,WA,2013.0,M8+,2013 World Rowing Championships
791,Georgia Nesbitt,TAS,2013.0,WL4x,2013 World Rowing Championships
792,Georgia Miansarow,NSW,2013.0,WL4x,2013 World Rowing Championships
793,James Wilson,VIC,2013.0,ML4x,2013 World Rowing Championships
794,Edward de Carvalho,NSW,2013.0,ML4x,2013 World Rowing Championships
795,Rebecca Daniher,VIC,2013.0,W2-,2013 World Rowing Championships
796,Jack Price,QLD,2013.0,ML8+,2013 World Rowing Championships
797,Not allocated,,,,
798,Timothy Widdicombe,WA,2013.0,ML8+,2013 World Rowing Championships
799,Simon Nola,NSW,2013.0,ML8+,2013 World Rowing Championships
800,Timothy Webster,VIC,2013.0,ML8+,2013 World Rowing Championships
801,Jennifer Cleary,VIC,2014.0,W4x,2014 World Rowing Championships
802,Molly Goodman,SA,2014.0,W8+,2014 World Rowing Championships
803,Michelle Yann,VIC,2014.0,W8+,2014 World Rowing Championships
804,Rhys Grant,WA),2014.0,M4x,2014 World Rowing Championships
805,Cameron Girdlestone,NSW,2014.0,M4x,2014 World Rowing Championships
