Award ceremony,Year,Category,Nominee / Work,Result
APAN Star Awards,2014,"Top Excellence Award, Actress in a Serial Drama",Thrice Married Woman,Nominated
Baeksang Arts Awards,2008,Best New Actress,The Legend,Won
Korea Drama Awards,2014,"Top Excellence Award, Actress",Thrice Married Woman,Nominated
Korea Culture and Entertainment Awards,2021,Grand Prize,The Penthouse: War in Life,Won
MBC Drama Awards,2007,Best New Actress,The Legend,Won
MBC Drama Awards,2007,"Popularity Award, Actress",The Legend,Won
MBC Drama Awards,2007,Best Couple Award,Lee Ji-ah  The Legend,Won
MBC Drama Awards,2008,"Excellence Award, Actress",Beethoven Virus,Nominated
SBS Drama Awards,2009,"Excellence Award, Actress in a Drama Special",Style,Nominated
SBS Drama Awards,2011,"Top Excellence Award, Actress in a Special Planning Drama",Athena: Goddess of War,Nominated
SBS Drama Awards,2014,"Top Excellence Award, Actress in a Serial Drama",Thrice Married Woman,Nominated
SBS Drama Awards,2020,"Top Excellence Award, Actress in a Mid-Length Drama",The Penthouse: War in Life,Won
SBS Drama Awards,2021,"Top Excellence Award, Actress in a Miniseries Genre/Fantasy Drama",The Penthouse: War in Life 2 and 3,Nominated
Seoul International Drama Awards,2021,Outstanding Korean Actress,The Penthouse: War in Life,Nominated
