Year,Title,Role
2002,Le Dernier Tour,Tigo
2010,Twelve,Warren
2014,Winter's Tale,Gabriel
2014,Noah,Young Tubal-cain
2014,Unbroken,Francis Mac McNamara
2015,My All American,Freddie Steinmark
2015,The Submarine Kid,Spencer Koll
2015,The Big Short,Jamie Shipley
2016,La La Land,Greg Earnest
2017,Landline,Nate
2017,A Midsummer Night's Dream,Demetrius
2018,A Futile and Stupid Gesture,Tim Matheson
2018,Write When You Get Work,Jonny Collins
2018,If Beale Street Could Talk,Hayward
2019,Locating Silver Lake,Seth
2019,Plus One,Steve
2019,The Last Black Man in San Francisco,Clayton
2019,Big Boy Pants,Kyle
2019,Judy,Mickey Deans
2019,Semper Fi,Jaeger
2021,Long Weekend,Bart
2021,A Mouthful of Air,Ethan Davis
2022,Deep Water,Tony Cameron
2022,Luckiest Girl Alive,Luke Harrison
2023,Downtown Owl,Coach Laidlaw
2023,Origin,August Landmesser
2024,Don't Move,Richard
2026,Hershey,Milton S. Hershey
