Road,From,To
A6000,Unused,
A6001,Biggleswade,Biggleswade
A6002,Stapleford,Bulwell
A6003,Barton Seagrave,Oakham
A6004,Loughborough,Loughborough railway station
A6005,Nottingham,Derby
A6006,Hathern,Melton Mowbray
A6007,Codnor,Bramcote
A6008,former Broad Marsh Centre,Victoria Centre
A6009,Mansfield,Mansfield
A6010,Chorlton-cum-Hardy,Cheetham
A6011,Nottingham,Gamston
A6012,Unused,
A6013,Ashopton,Bamford
A6013,Kettering bypass,"Northampton Road, Kettering"
A6014,Corby,Great Oakley
A6015,"Newtown, New Mills",Hayfield
A6016,"Simmondley, Glossop","Charlestown, Glossop"
A6017,Bredbury,Ashton-under-Lyne
A6018,Mottram in Longdendale,Stalybridge
A6019,Nottingham,Nottingham
A6020,Ashford-in-the-Water,A619 near Bakewell
A6021,South East Rotherham,South West Rotherham
A6022,Mexborough,Swinton
A6023,Wath upon Dearne,Conisbrough
A6024,A628 at Woodhead,Honley
A6025,Brighouse,A629 near Elland
A6026,A58 near Sowerby Bridge,A629 near Greetland
A6027,Horwich,Horwich
A6028,Unused,
A6029,Morley,Tingley
A6030,A563/A47 at Evington,A6 at Stoneygate
A6031,Unused,
A6032,Castleford,Castleford
A6033,Littleborough,Haworth
A6034,Steeton,Addingham
A6035,Keighley,Keighley
A6036,Halifax,Bradford
A6037,Shipley,Bradford
A6038,Shipley,Otley
A6039,Unused,
A6040,Harrogate,Harrogate
A6041,Manchester,Salford
A6042,Manchester,Manchester
A6043,Ashton-under-Lyne,Ashton-under-Lyne
A6044,Pendlebury,Heaton Park
A6045,Heywood,Heaton Park
A6046,Heywood,Middleton
A6047,Heywood,Heywood
A6048,Oldham,Oldham
A6049,Unused,
A6050,A670 near Mossley,A669 near Lydgate
A6051,Greenfield,Greenfield
A6052,Uppermill,Denshaw
A6053,Kearsley,A56 near Bury
A6054,Unused,
A6055,Knaresborough,"Barton, North Yorkshire"
A6056,Unused,
A6057,Unused,
A6058,Bolton,Bolton
A6059,Unused,
A6060,Rochdale,Rochdale
A6061,"A675 in Riley Green, Lancashire","A674 near Feniscowles, Lancashire"
A6062,"A674 in Feniscowles, Blackburn","A666 in Ewood, Blackburn"
A6063,Preston,"Deepdale, Preston"
A6064,Unused,
A6065,Unused,
A6066,"A681 in Stacksteads, Lancashire","A671 in Britannia, Lancashire"
A6067,Unused,
A6068,"Kildwick, North Yorkshire","Hapton, Lancashire"
A6069,Skipton,Skipton
A6070,Carnforth,Crooklands
A6071,Brampton,Gretna
A6072,Heighington,Bishop Auckland
A6073,Unused,
A6074,Unused,
A6075,Sutton in Ashfield,Darlton
A6076,Lanchester,Sunniside
A6077,Blackburn,M65 at Guide
A6078,Blackburn,Blackburn
A6079,Hexham,A68 road
A6080,Unused,
A6081,Unused,
A6082,Unused,
A6083,Unused,
A6084,Unused,
A6085,Scotswood Bridge,Throckley
A6086,Corby,Corby
A6087,Unused,
A6088,Hawick,Carter Bar
A6089,Whiteburn,Kelso
A6090,Bonjedward,Bonjedward
A6091,Galashiels,Newtown St Boswells
A6092,Unused,
A6093,Fordel,Haddington
A6094,Leadburn,Wallyford
A6095,Edinburgh,Musselburgh
A6096,Spondon,Giltbrook
A6097,Bingham,"Warren Hill, near Farnsfield, Nottinghamshire"
A6098,Kettering,Kettering
A6099,Bolton,Halliwell
